,A,B,C,D,D & E,E,F
20.0,31285780,38068620,41971578,40002636,,37301424,31361818
45.0,32981758,41276664,45887478,42099360,90927585,39378930,32917842
69.0,37640132,44144100,49378405,47441030,100563498,43508400,37252988
