,A,B,C,D,E,F,G,G & H,GH,H
18.0,17040,16437,16284,16882,16872,17101,17659,17145,17145,16095
34.0,17050,16467,17286,17665,17309,18368,17775,18252,18252,17225
50.0,17681,15569,18264,17893,17522,16359,15911,19337,19337,18129
