,A,B,C,D,E,F,G,H,J,K,L
14.0,1515,359,352,528,461,353,350,350,354,380,526
29.0,1515,359,352,528,461,353,350,350,354,380,526
43.0,1513,356,352,528,461,353,350,350,354,380,526
