,A,B,C,D,E,F,G,H,J,K,L
14.0,24673,23645,20547,24626,21638,20705,20858,20954,20792,19945,21089
29.0,26963,26413,21944,27817,23163,20982,22048,22022,21928,20527,21890
43.0,28522,27610,23106,28110,24716,23026,23326,23242,23192,21386,24256
