,A,B,C,D,E,F,G,GH,H
19.0,16773,16645,16706,15981,15845,16072,15659,17472,16499
38.0,18582,17951,17786,17185,16649,16807,16896,18936,17035
56.0,18750,19052,16905,16729,18111,17238,18201,20448,18255
