,A,AB,B,BG,BK,C,CK,D,E,F,FJ,G,H,J,JK,K
29.0,736,903,529,801,971,362,804,351,350,357,738,272,267,381,823,442
72.0,374,903,1058,801,,362,804,351,350,629,,272,267,381,,442
115.0,,,,,,,,,,,,,,,,
