,1,2,3,4,5,6,7,8,9
7.0,3290521,3188745,2508656,2474550,2429224,3191128,2386800,2396048,3200210
20.0,3433378,3408642,2650980,2754180,2558192,3335006,2580630,2558057,3346478
32.0,3548818,3521691,2737000,2829840,2620128,3431562,2658240,2643849,3438732
