,A,B,C,D,E,F,G,H
13.0,16340,15570,15609,16089,15775,15792,16109,15806
30.0,17002,17037,17465,17829,16823,17258,16999,16985
46.0,17725,18691,18106,18049,17195,17883,17082,17627
