,A,B,C,D,E,F,G
12.0,22453005,20276176,19594113,20154540,16566264,16784064,20125400
26.0,23127235,21839440,21692778,21717760,17804952,18467064,21660420
38.0,23953310,23084576,22837419,22863620,18810792,18971568,22898400
