,A,B,C,D,E,F,G,G & H,GH,H
19.0,23157382,23519538,28463190,28492048,28492048,26305500,21861630,45788340,45788340,23154248
40.0,26048400,24273543,27802890,27707472,27831128,28272555,23282049,51203022,51203022,23385755
62.0,28270580,28498325,31533810,30703800,31533810,31976190,26117375,56557215,56557215,27900116
