,A,B,C,D,E,F,G,G & H,GH,H
18.0,7804320,7544583,7832604,7816366,8182920,7900662,8087822,18499455,18499455,9994995
34.0,7808900,7558353,8314566,8178895,8394865,8486016,8140950,19693908,19693908,10696725
50.0,8469199,7473120,8784984,8284459,9321704,7999551,7287238,20864623,20864623,11258109
