,A,B,C,D,E,F,G,G & H,GH,H
18.0,458,459,481,463,485,462,458,1079,1079,621
34.0,458,459,481,463,485,462,458,1079,1079,621
50.0,479,480,481,463,532,489,458,1079,1079,621
