,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,10360022.333333334,11852.0,3,31080067.0,35556.0,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",9737065.0,12695.0,767.0,12540648.0,9859.0,1272.0,8802354.000000002,13002.0,677.0,-0.00030852702501482643,-0.00030927545196379747
2019-11-15,10363219.666666666,11855.666666666666,3,31089659.0,35567.0,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",9740133.0,12699.0,767.0,12544464.0,9862.0,1272.0,8805062.0,13006.0,677.0,0.020100264257755462,0.020105546951184383
2019-10-15,10159020.666666666,11622.0,3,30477062.0,34866.0,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",9547616.0,12448.0,767.0,12297696.0,9668.0,1272.0,8631750.0,12750.0,677.0,0.010756306311236141,0.010755181910421685
2019-9-15,10050910.0,11498.333333333334,3,30152730.0,34495.0,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",9446372.000000002,12316.0,767.0,12166680.0,9565.0,1272.0,8539678.0,12614.0,677.0,-0.049652440668696673,-0.05100552972571459
2019-8-15,10576036.0,12116.333333333334,3,31728108.0,36349.0,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",9984806.0,13018.0,767.0,12716184.0,9997.0,1272.0,9027118.0,13334.0,677.0,0.0410876809210996,0.04110099100647302
2019-7-15,10158641.0,11638.0,3,30475923.0,34914.0,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",9590568.000000002,12504.0,767.0,12215016.0,9603.0,1272.0,8670339.0,12807.0,677.0,-0.04414837516888426,-0.04415911517507587
2019-6-15,10627843.0,12175.666666666666,3,31883529.0,36527.0,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",10033894.0,13082.0,767.0,12778512.0,10046.0,1272.0,9071123.0,13399.0,677.0,0.0026273286964331177,0.0026626406807575
2019-5-15,10599993.333333334,12143.333333333334,3,31799980.0,36430.0,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",10003214.0,13042.0,767.0,12747984.0,10022.0,1272.0,9048782.0,13366.0,677.0,-0.003667414825181181,-0.0036648069139043615
2019-4-15,10639011.0,12188.0,3,31917033.0,36564.0,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",10040030.0,13090.0,767.0,12795048.0,10059.0,1272.0,9081955.0,13415.0,677.0,0.060556564171115435,0.060563870518621554
2019-3-15,10031535.666666666,11492.0,3,30094607.0,34476.0,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",9466314.0,12342.0,767.0,12064920.0,9485.0,1272.0,8563373.0,12649.0,677.0,0.03855489109490784,0.03855886251355578
2019-2-15,9659129.0,11065.333333333334,3,28977387.0,33196.0,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",9115028.0,11884.0,767.0,11617176.0,9133.0,1272.0,8245183.0,12179.0,677.0,0.009155024612125473,0.009150326797385588
