,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,nfa_avg,lumpSum_change,npsf_change
2020-12-15,10152006.333333334,11614.0,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",9542247.0,12441.0,767.0,12288792.0,9661.0,1272.0,8624980.0,12740.0,677.0,,-0.00522881666364805,-0.005224839400428283
2020-11-15,10205368.333333334,11675.0,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",9592102.0,12506.0,767.0,12353664.0,9712.0,1272.0,8670339.0,12807.0,677.0,,-0.021995631258990067,-0.02200318320163064
2020-10-15,10434890.333333334,11937.666666666666,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",9808396.0,12788.0,767.0,12630960.0,9930.0,1272.0,8865315.0,13095.0,677.0,,0.01320346973969122,0.013212244667006212
2020-9-15,10298909.0,11782.0,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",9680307.0,12621.0,767.0,12466872.0,9801.0,1272.0,8749548.0,12924.0,677.0,,0.01969661901098685,0.019704007154602854
2020-8-15,10099973.666666666,11554.333333333334,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",9493159.0,12377.0,767.0,12226464.0,9612.0,1272.0,8580298.0,12674.0,677.0,,-0.049935251194011876,-0.04993833082088517
2020-7-15,10630826.666666666,12161.666666666666,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",9992476.0,13028.0,767.0,12868824.0,10117.0,1272.0,9031180.0,13340.0,677.0,,0.020251586825311918,0.020245518861329304
2020-6-15,10419809.0,11920.333333333334,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",9793823.0,12769.0,767.0,12613152.0,9916.0,1272.0,8852452.0,13076.0,677.0,,0.010509328019021602,0.010511740936449243
2020-5-15,10311442.666666666,11796.333333333334,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",9691812.0,12636.0,767.0,12482136.0,9813.0,1272.0,8760380.0,12940.0,677.0,,0.007149238211059616,0.007143263703113467
2020-4-15,10238247.0,11712.666666666666,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",9623549.0,12547.0,767.0,12393096.0,9743.0,1272.0,8698096.0,12848.0,677.0,,0.01831183129518954,0.01831565524836254
2020-3-15,10054137.333333334,11502.0,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",9450207.0,12321.0,767.0,12170496.0,9568.0,1272.0,8541709.0,12617.0,677.0,,0.0054525102851465945,0.005448876715522077
2020-2-15,9999614.333333334,11439.666666666666,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",9398818.0,12254.0,767.0,12104352.0,9516.0,1272.0,8495673.0,12549.0,677.0,,-0.023307961476868644,-0.023308099493425938
2020-1-15,10238247.0,11712.666666666666,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",9623549.0,12547.0,767.0,12393096.0,9743.0,1272.0,8698096.0,12848.0,677.0,,-0.00791254156086918,-0.00790558473092784
2019-12-15,10319903.666666666,11806.0,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",9700249.0,12647.0,767.0,12492312.0,9821.0,1272.0,8767150.0,12950.0,677.0,,0.003483084702088135,0.0034849128771781146
2019-11-15,10284083.333333334,11765.0,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",9666501.0,12603.0,767.0,12449064.0,9787.0,1272.0,8736685.0,12905.0,677.0,,0.016093885102225425,0.016092814371257536
2019-10-15,10121194.0,11578.666666666666,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",9513101.0,12403.0,767.0,12251904.0,9632.0,1272.0,8598577.0,12701.0,677.0,,-0.010505877850020329,-0.01051132317333714
2019-9-15,10228655.0,11701.666666666666,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",9614345.0,12535.0,767.0,12381648.0,9734.0,1272.0,8689972.0,12836.0,677.0,,-0.03176881644567442,-0.03315982263350692
2019-8-15,10564269.333333334,12103.0,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",9975602.0,13006.0,767.0,12700920.0,9985.0,1272.0,9016286.0,13318.0,677.0,,0.043716862496904874,0.043721973094170474
2019-7-15,10121777.0,11596.0,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",9557587.0,12461.0,767.0,12169224.0,9567.0,1272.0,8638520.0,12760.0,677.0,,-0.04310303507769886,-0.04310273690001376
2019-6-15,10577708.333333334,12118.333333333334,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",9987874.0,13022.0,767.0,12717456.0,9998.0,1272.0,9027795.0,13335.0,677.0,,0.004099537504708817,0.004143074161027549
2019-5-15,10534521.666666666,12068.333333333334,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",9941854.0,12962.0,767.0,12669120.0,9960.0,1272.0,8992591.0,13283.0,677.0,,-0.006240295623997971,-0.0062307861220903815
2019-4-15,10600673.0,12144.0,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",10003981.0,13043.0,767.0,12749256.0,10023.0,1272.0,9048782.0,13366.0,677.0,,0.06604371876132897,0.06604242867593269
2019-3-15,9943938.333333334,11391.666666666666,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",9384245.0,12235.0,767.0,11959344.0,9402.0,1272.0,8488226.0,12538.0,677.0,,0.02773382700140714,0.02772682164015272
2019-2-15,9675597.0,11084.333333333334,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",9131135.0,11905.0,767.0,11636256.0,9148.0,1272.0,8259400.0,12200.0,677.0,,0.017153600585676276,0.017160161507402405
2019-1-15,9512424.666666666,10897.333333333334,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",8976968.0,11704.0,767.0,11440368.0,8994.0,1272.0,8119938.0,11994.0,677.0,,0.014900619504156332,0.014901279026449776
2018-12-15,9372764.666666666,10737.333333333334,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",8845044.0,11532.0,767.0,11272464.0,8862.0,1272.0,8000786.0,11818.0,677.0,,,
2018-11-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,,
2018-10-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,,
2018-9-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,,
2018-8-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,,
2018-7-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,,
2018-6-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,,
2018-5-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,,
2018-4-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,,
2018-3-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,,
2018-2-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,,
2018-1-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,,
