,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_A8,npsf_A8,nfa_A8,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,nfa_avg,lumpSum_change,npsf_change
2020-12-15,6412154.636363637,12663.727272727272,"WETLAND SEASONS PARK(Phase 2),Block 2,WETLAND PARK RD|WETLAND SEASONS PARK2期,2座,濕地公園路",8276590.0,13034.0,635.0,8352344.0,11473.0,728.0,5474056.0,13384.0,409.0,6669040.000000001,11909.0,560.0,5503701.0,13391.0,411.0,6600720.0,11787.0,560.0,5517408.0,13263.0,416.0,5653376.0,12184.0,464.0,4506705.0,14307.0,315.0,7029426.0,12354.0,569.0,6950335.0,12215.0,569.0,,-0.005227675260505049,-0.005248650347053574
2020-11-15,6445851.454545454,12730.545454545454,"WETLAND SEASONS PARK(Phase 2),Block 2,WETLAND PARK RD|WETLAND SEASONS PARK2期,2座,濕地公園路",8318500.0,13100.0,635.0,8393840.0,11530.0,728.0,5503504.0,13456.0,409.0,6705440.0,11974.0,560.0,5532471.0,13461.0,411.0,6635440.0,11849.0,560.0,5546944.0,13334.0,416.0,5683536.0,12249.0,464.0,4530960.0,14384.0,315.0,7066980.0,12420.0,569.0,6986751.0,12279.0,569.0,,-0.02201747247855601,-0.022040337449019565
2020-10-15,6590967.909090909,13017.454545454546,"WETLAND SEASONS PARK(Phase 2),Block 2,WETLAND PARK RD|WETLAND SEASONS PARK2期,2座,濕地公園路",8503920.0,13392.0,635.0,8580936.0,11787.0,728.0,5628658.0,13762.0,409.0,6857200.0,12245.0,560.0,5657004.0,13764.0,411.0,6784960.0,12116.0,560.0,5672160.0,13635.0,416.0,5812064.0,12526.0,464.0,4633650.0,14710.0,315.0,7226300.0,12700.0,569.0,7143795.0,12555.0,569.0,,0.013237430590885557,0.013232193147563631
2020-9-15,6504860.2727272725,12847.454545454546,"WETLAND SEASONS PARK(Phase 2),Block 2,WETLAND PARK RD|WETLAND SEASONS PARK2期,2座,濕地公園路",8391525.0,13215.0,635.0,8467368.0,11631.0,728.0,5555856.0,13584.0,409.0,6768720.0,12087.0,560.0,5583435.0,13585.0,411.0,6696480.0,11958.0,560.0,5598528.0,13458.0,416.0,5736432.0,12363.0,464.0,4572225.0,14515.0,315.0,7132415.0,12535.0,569.0,7050479.0,12391.0,569.0,,0.019696286866257795,0.0196981066728239
2020-8-15,6379213.454545454,12599.272727272728,"WETLAND SEASONS PARK(Phase 2),Block 2,WETLAND PARK RD|WETLAND SEASONS PARK2期,2座,濕地公園路",8228330.0,12958.0,635.0,8302112.0,11404.0,728.0,5449516.0,13324.0,409.0,6639360.0,11856.0,560.0,5475753.0,13323.0,411.0,6567120.0,11727.0,560.0,5490784.0,13199.0,416.0,5626464.0,12126.0,464.0,4482135.0,14229.0,315.0,6995286.0,12294.0,569.0,6914488.0,12152.0,569.0,,-0.04989369087370632,-0.04989374100226218
2020-7-15,6714210.181818182,13260.90909090909,"WETLAND SEASONS PARK(Phase 2),Block 2,WETLAND PARK RD|WETLAND SEASONS PARK2期,2座,濕地公園路",8658860.0,13636.0,635.0,8736728.0,12001.0,728.0,5737043.0,14027.0,409.0,6989360.0,12481.0,560.0,5763453.0,14023.0,411.0,6912080.0,12343.0,560.0,5779488.0,13893.0,416.0,5922496.0,12764.0,464.0,4715865.0,14971.0,315.0,7362860.0,12940.0,569.0,7278079.0,12791.0,569.0,,0.020226749741711902,0.020226888052707448
2020-6-15,6581096.0,12998.0,"WETLAND SEASONS PARK(Phase 2),Block 2,WETLAND PARK RD|WETLAND SEASONS PARK2期,2座,濕地公園路",8485505.0,13363.0,635.0,8562008.0,11761.0,728.0,5624159.0,13751.0,409.0,6852160.0,12236.0,560.0,5649195.0,13745.0,411.0,6775440.0,12099.0,560.0,5665504.0,13619.0,416.0,5806032.0,12513.0,464.0,4620735.0,14669.0,315.0,7217765.0,12685.0,569.0,7133553.0,12537.0,569.0,,0.010035609615567376,0.009938476100331162
2020-5-15,6515706.909090909,12870.09090909091,"WETLAND SEASONS PARK(Phase 2),Block 2,WETLAND PARK RD|WETLAND SEASONS PARK2期,2座,濕地公園路",8397875.0,13225.0,635.0,8473920.0,11640.0,728.0,5564854.0,13606.0,409.0,6781040.0,12109.0,560.0,5624946.0,13686.0,411.0,6704880.0,11973.0,560.0,5606431.999999999,13477.0,416.0,5745248.0,12382.0,464.0,4571910.0,14514.0,315.0,7142088.0,12552.0,569.0,7059583.0,12407.0,569.0,,0.007131343501364018,0.007149666348903905
2020-4-15,6469570.181818182,12778.727272727272,"WETLAND SEASONS PARK(Phase 2),Block 2,WETLAND PARK RD|WETLAND SEASONS PARK2期,2座,濕地公園路",8340090.0,13134.0,635.0,8415680.0,11560.0,728.0,5524363.0,13507.0,409.0,6731760.0,12021.0,560.0,5585079.0,13589.0,411.0,6657280.0,11888.0,560.0,5566496.0,13381.0,416.0,5704416.000000001,12294.0,464.0,4539150.0,14410.0,315.0,7091447.0,12463.0,569.0,7009511.0,12319.0,569.0,,0.01832115378286292,0.018343306721532393
2020-3-15,6353172.7272727275,12548.545454545454,"WETLAND SEASONS PARK(Phase 2),Block 2,WETLAND PARK RD|WETLAND SEASONS PARK2期,2座,濕地公園路",8191500.0,12900.0,635.0,8266440.0,11355.0,728.0,5424158.0,13262.0,409.0,6609680.0,11803.0,560.0,5484795.0,13345.0,411.0,6537440.0,11674.0,560.0,5465824.0,13139.0,416.0,5600944.0,12071.0,464.0,4456935.0,14149.0,315.0,6963422.0,12238.0,569.0,6883762.000000001,12098.0,569.0,,0.00548267604176611,0.0054997486869805545
2020-2-15,6318530.2727272725,12479.90909090909,"WETLAND SEASONS PARK(Phase 2),Block 2,WETLAND PARK RD|WETLAND SEASONS PARK2期,2座,濕地公園路",8148320.0,12832.0,635.0,8222760.0,11295.0,728.0,5393892.0,13188.0,409.0,6572720.0,11737.0,560.0,5454792.0,13272.0,411.0,6501600.0,11610.0,560.0,5435872.0,13067.0,416.0,5570320.0,12005.0,464.0,4432050.0,14070.0,315.0,6925299.0,12171.0,569.0,6846208.0,12032.0,569.0,,-0.023286447766174057,-0.023265907263658958
