,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,nfa_avg,lumpSum_change,npsf_change
2020-12-15,6316604.142857143,13418.57142857143,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",6017085.0,14499.0,415.0,6274350.0,14325.0,438.0,6126562.0,13861.0,442.0,5867898.0,13938.0,421.0,6687876.0,12961.0,516.0,6825831.0,11789.0,579.0,6416627.0,12557.0,511.0,,-0.005190773187708331,-0.00517904235376343
2020-11-15,6349563.285714285,13488.42857142857,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",6047380.0,14572.0,415.0,6305010.0,14395.0,438.0,6157944.0,13932.0,442.0,5899894.0,14014.0,421.0,6722964.0,13029.0,516.0,6862887.0,11853.0,579.0,6450864.000000001,12624.0,511.0,,-0.021971636590977894,-0.021960036876288336
2020-10-15,6492207.714285715,13791.285714285714,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",6182255.0,14897.0,415.0,6444732.0,14714.0,438.0,6295406.0,14243.0,442.0,6033772.0,14332.0,421.0,6874152.0,13322.0,516.0,7018638.0,12122.0,579.0,6596499.0,12909.0,511.0,,0.013244237402369796,0.01325622402283888
2020-9-15,6407347.285714285,13610.857142857143,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",6100085.0,14699.0,415.0,6358884.0,14518.0,438.0,6212310.0,14055.0,442.0,5956308.0,14148.0,421.0,6784368.0,13148.0,516.0,6928314.0,11966.0,579.0,6511162.0,12742.0,511.0,,0.019702501908613,0.01971445084230572
2020-8-15,6283545.714285715,13347.714285714286,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",5981395.0,14413.0,415.0,6234054.0,14233.0,438.0,6091644.0,13782.0,442.0,5842216.999999999,13877.0,421.0,6653820.0,12895.0,516.0,6795723.0,11737.0,579.0,6385967.0,12497.0,511.0,,-0.04987772458424922,-0.049868819784823715
2020-7-15,6613407.428571428,14048.285714285714,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",6294305.0,15167.0,415.0,6559488.0,14976.0,438.0,6410768.0,14504.0,442.0,6150389.0,14609.0,421.0,7003152.0,13572.0,516.0,7153545.0,12355.0,579.0,6722205.0,13155.0,511.0,,0.02024246957207576,0.020251903803456983
2020-6-15,6482191.857142857,13769.42857142857,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",6168560.0,14864.0,415.0,6427650.000000001,14675.0,438.0,6283030.0,14215.0,442.0,6029562.0,14322.0,421.0,6864348.0,13303.0,516.0,7012848.0,12112.0,579.0,6589345.0,12895.0,511.0,,0.01050611086006703,0.010504906483267629
2020-5-15,6414797.285714285,13626.285714285714,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",6104650.0,14710.0,415.0,6361074.0,14523.0,438.0,6218056.0,14068.0,442.0,5966412.0,14172.0,421.0,6792624.0,13164.0,516.0,6939894.0,11986.0,579.0,6520871.0,12761.0,511.0,,0.007082680501249383,0.00707392782481997
2020-4-15,6369682.857142857,13530.57142857143,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",6062735.0,14609.0,415.0,6318150.0,14425.0,438.0,6174740.0,13970.0,442.0,5923049.0,14069.0,421.0,6744636.0,13071.0,516.0,6890100.0,11900.0,579.0,6474370.0,12670.0,511.0,,0.018277983587711377,0.018265871096059705
2020-3-15,6255347.714285715,13287.857142857143,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",5954835.0,14349.0,415.0,6206460.0,14170.0,438.0,6064682.0,13721.0,442.0,5815694.0,13814.0,421.0,6623376.0,12836.0,516.0,6765036.0,11684.0,579.0,6357351.0,12441.0,511.0,,0.005435063515463856,0.0054262644168927565
2020-2-15,6221533.285714285,13216.142857142857,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",5923710.0,14274.0,415.0,6174486.0,14097.0,438.0,6032416.0,13648.0,442.0,5782856.0,13736.0,421.0,6587771.999999999,12767.0,516.0,6727401.0,11619.0,579.0,6322092.0,12372.0,511.0,,-0.023319442500834286,-0.023331186723393516
2020-1-15,6370080.0,13531.857142857143,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",6066055.0,14617.0,415.0,6323844.0,14438.0,438.0,6177392.0,13976.0,442.0,5919681.0,14061.0,421.0,6744636.0,13071.0,516.0,6886626.0,11894.0,579.0,6472326.0,12666.0,511.0,,-0.00792552757998033,-0.00793875221248208
2019-12-15,6420969.571428572,13640.142857142857,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",6115855.0,14737.0,415.0,6376404.0,14558.0,438.0,6227338.0,14089.0,442.0,5965570.0,14170.0,421.0,6798300.0,13175.0,516.0,6939894.0,11986.0,579.0,6523426.0,12766.0,511.0,,0.0034054600142581215,0.0033943546522625656
2019-11-15,6399177.428571428,13594.0,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",6095935.0,14689.0,415.0,6356694.0,14513.0,438.0,6207006.0,14043.0,442.0,5944099.0,14119.0,421.0,6775080.0,13130.0,516.0,6914997.0,11943.0,579.0,6500431.0,12721.0,511.0,,0.016093404415783663,0.016080809806517715
2019-10-15,6297824.0,13378.857142857143,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",6000485.0,14459.0,415.0,6257706.0,14287.0,438.0,6109766.0,13823.0,442.0,5848531.999999999,13892.0,421.0,6667752.0,12922.0,516.0,6803829.0,11751.0,579.0,6396698.0,12518.0,511.0,,-0.010543107520583073,-0.010554563607357625
2019-9-15,6364930.142857143,13521.57142857143,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",6065640.0,14616.0,415.0,6326472.0,14444.0,438.0,6175182.0,13971.0,442.0,5909577.0,14037.0,421.0,6738444.0,13059.0,516.0,6875046.0,11874.0,579.0,6464150.0,12650.0,511.0,,-0.03624748570962455,-0.036258298374943876
2019-8-15,6604320.142857143,14030.285714285714,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",6294720.0,15168.0,415.0,6566496.0,14992.0,438.0,6408558.0,14499.0,442.0,6130181.0,14561.0,421.0,6991800.0,13550.0,516.0,7132122.0,12318.0,579.0,6706364.0,13124.0,511.0,,0.04368905199822293,0.04367601113685149
2019-7-15,6327861.857142857,13443.142857142857,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",6032440.0,14536.0,415.0,6293622.0,14369.0,438.0,6141148.0,13894.0,442.0,5872108.0,13948.0,421.0,6698712.0,12982.0,516.0,6832200.0,11800.0,579.0,6424803.0,12573.0,511.0,,-0.043131607250177395,-0.04314403375870657
2019-6-15,6613095.285714285,14049.285714285714,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",6305510.0,15194.0,415.0,6579198.0,15021.0,438.0,6418724.0,14522.0,442.0,6135654.0,14574.0,421.0,7000572.0,13567.0,516.0,7138491.0,12329.0,579.0,6713518.0,13138.0,511.0,,0.0038512976126938714,0.003837948738886654
2019-5-15,6587724.0,13995.57142857143,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",6282685.0,15139.0,415.0,6556422.0,14969.0,438.0,6394856.0,14468.0,442.0,6110394.0,14514.0,421.0,6973224.0,13514.0,516.0,7109541.0,12279.0,579.0,6686946.0,13086.0,511.0,,-0.0062643996523977785,-0.00627865460299426
2019-4-15,6629252.285714285,14084.0,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",6323770.0,15238.0,415.0,6599784.0,15068.0,438.0,6435962.0,14561.0,442.0,6147442.0,14602.0,421.0,7017084.0,13599.0,516.0,7152387.0,12353.0,579.0,6728337.0,13167.0,511.0,,0.06603953529952555,0.06602365865790105
2019-3-15,6218580.142857143,13211.714285714286,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",5933255.0,14297.0,415.0,6193320.0,14140.0,438.0,6038162.0,13661.0,442.0,5765174.0,13694.0,421.0,6582096.0,12756.0,516.0,6707715.0,11585.0,579.0,6310339.0,12349.0,511.0,,0.02767952837390153,0.027669126144546308
2019-2-15,6051088.857142857,12856.0,"WETLAND SEASONS PARK(Phase 2),Block 19,WETLAND PARK RD|WETLAND SEASONS PARK2期,19座,濕地公園路",5774310.0,13914.0,415.0,6028194.0,13763.0,438.0,5876390.0,13295.0,442.0,5608562.0,13322.0,421.0,6404592.0,12412.0,516.0,6525909.0,11271.0,579.0,6139665.0,12015.0,511.0,,0.01716040658059037,0.017146086465103183
