,lumpSum_avg,npsf_avg,final_address,lumpSum_33,npsf_33,nfa_33,lumpSum_35,npsf_35,nfa_35,nfa_avg,lumpSum_change,npsf_change
2020-12-15,8836340.0,23882.0,31-36 SAU WA FONG|31-36 秀華坊,8774550.0,23715.0,370.0,8898130.0,24049.0,370.0,,0.04167666237759793,0.04167666237759793
2020-11-15,8482805.0,22926.5,31-36 SAU WA FONG|31-36 秀華坊,8423420.0,22766.0,370.0,8542190.0,23087.0,370.0,,-0.10338287055142747,-0.10338287055142747
2020-10-15,9460900.0,25570.0,31-36 SAU WA FONG|31-36 秀華坊,9394670.0,25391.0,370.0,9527130.0,25749.0,370.0,,0.02322975649772907,0.02322975649772907
2020-9-15,9246115.0,24989.5,31-36 SAU WA FONG|31-36 秀華坊,9181550.0,24815.0,370.0,9310680.0,25164.0,370.0,,0.10894406354700581,0.10894406354700581
2020-8-15,8337765.0,22534.5,31-36 SAU WA FONG|31-36 秀華坊,8279490.0,22377.0,370.0,8396040.0,22692.0,370.0,,-0.07007118539151969,-0.07007118539151969
2020-7-15,8966025.0,24232.5,31-36 SAU WA FONG|31-36 秀華坊,8903310.0,24063.0,370.0,9028740.0,24402.0,370.0,,0.008322063871840202,0.008322063871840202
2020-6-15,8892025.0,24032.5,31-36 SAU WA FONG|31-36 秀華坊,8829680.0,23864.0,370.0,8954370.0,24201.0,370.0,,-0.08039489544071787,-0.08039489544071787
2020-5-15,9669395.0,26133.5,31-36 SAU WA FONG|31-36 秀華坊,9601500.0,25950.0,370.0,9737290.0,26317.0,370.0,,0.03675566310945366,0.03675566310945366
2020-4-15,9326590.0,25207.0,31-36 SAU WA FONG|31-36 秀華坊,9261100.0,25030.0,370.0,9392080.0,25384.0,370.0,,0.01850579821406928,0.01850579821406928
2020-3-15,9157130.0,24749.0,31-36 SAU WA FONG|31-36 秀華坊,9092750.0,24575.0,370.0,9221510.0,24923.0,370.0,,-0.0028003303986945394,-0.0028003303986945394
2020-2-15,9182845.0,24818.5,31-36 SAU WA FONG|31-36 秀華坊,9118280.0,24644.0,370.0,9247410.0,24993.0,370.0,,0.08934293113286218,0.08934293113286218
2020-1-15,8429710.0,22783.0,31-36 SAU WA FONG|31-36 秀華坊,8370510.0,22623.0,370.0,8488910.0,22943.0,370.0,,0.0016266596324627791,0.0016266596324627791
2019-12-15,8416020.0,22746.0,31-36 SAU WA FONG|31-36 秀華坊,8356820.0,22586.0,370.0,8475220.0,22906.0,370.0,,-0.09925749925749927,-0.09925749925749927
2019-11-15,9343425.0,25252.5,31-36 SAU WA FONG|31-36 秀華坊,9277750.0,25075.0,370.0,9409100.0,25430.0,370.0,,-0.02762803234501343,-0.02762803234501343
2019-10-15,9608900.0,25970.0,31-36 SAU WA FONG|31-36 秀華坊,9541190.0,25787.0,370.0,9676610.0,26153.0,370.0,,0.03373469997014622,0.03373469997014622
2019-9-15,9295325.0,25122.5,31-36 SAU WA FONG|31-36 秀華坊,9230020.0,24946.0,370.0,9360630.0,25299.0,370.0,,-0.2132377119772012,-0.2132377119772012
2019-8-15,11814655.0,31931.5,31-36 SAU WA FONG|31-36 秀華坊,11731590.0,31707.0,370.0,11897720.0,32156.0,370.0,,0.21023707100759914,0.21023707100759914
2019-7-15,9762265.0,26384.5,31-36 SAU WA FONG|31-36 秀華坊,9693630.0,26199.0,370.0,9830900.0,26570.0,370.0,,-0.018798809966530272,-0.018798809966530272
2019-6-15,9949300.0,26890.0,31-36 SAU WA FONG|31-36 秀華坊,9879370.0,26701.0,370.0,10019230.0,27079.0,370.0,,0.01875355180905469,0.01875355180905469
2019-5-15,9766150.0,26395.0,31-36 SAU WA FONG|31-36 秀華坊,9697330.0,26209.0,370.0,9834970.0,26581.0,370.0,,0.04276543209876538,0.04276543209876538
2019-4-15,9365625.0,25312.5,31-36 SAU WA FONG|31-36 秀華坊,9299580.0,25134.0,370.0,9431670.0,25491.0,370.0,,0.012378514578250677,0.012378514578250677
2019-3-15,9251110.0,25003.0,31-36 SAU WA FONG|31-36 秀華坊,9185990.0,24827.0,370.0,9316230.0,25179.0,370.0,,0.08510545959552118,0.08510545959552118
2019-2-15,8525540.0,23042.0,31-36 SAU WA FONG|31-36 秀華坊,8465600.0,22880.0,370.0,8585480.0,23204.0,370.0,,-0.06424626380766729,-0.06424626380766729
2019-1-15,9110880.0,24624.0,31-36 SAU WA FONG|31-36 秀華坊,8917740.0,24102.0,370.0,9304020.0,25146.0,370.0,,0.0376956952316736,0.0376956952316736
2018-12-15,8779915.0,23729.5,31-36 SAU WA FONG|31-36 秀華坊,8593620.0,23226.0,370.0,8966210.0,24233.0,370.0,,0.027206614432275567,0.027206614432275567
2018-11-15,8547370.0,23101.0,31-36 SAU WA FONG|31-36 秀華坊,8366070.0,22611.0,370.0,8728670.0,23591.0,370.0,,-0.0983040262300201,-0.0983040262300201
2018-10-15,9479215.0,25619.5,31-36 SAU WA FONG|31-36 秀華坊,9278120.0,25076.0,370.0,9680310.0,26163.0,370.0,,0.1473901068141612,0.1473901068141612
2018-9-15,8261545.0,22328.5,31-36 SAU WA FONG|31-36 秀華坊,8086350.0,21855.0,370.0,8436740.0,22802.0,370.0,,,
2018-8-15,,,31-36 SAU WA FONG|31-36 秀華坊,,,370.0,,,370.0,,,
2018-7-15,,,31-36 SAU WA FONG|31-36 秀華坊,,,370.0,,,370.0,,,
2018-6-15,,,31-36 SAU WA FONG|31-36 秀華坊,,,370.0,,,370.0,,,
2018-5-15,,,31-36 SAU WA FONG|31-36 秀華坊,,,370.0,,,370.0,,,
2018-4-15,,,31-36 SAU WA FONG|31-36 秀華坊,,,370.0,,,370.0,,,
2018-3-15,,,31-36 SAU WA FONG|31-36 秀華坊,,,370.0,,,370.0,,,
2018-2-15,,,31-36 SAU WA FONG|31-36 秀華坊,,,370.0,,,370.0,,,
2018-1-15,,,31-36 SAU WA FONG|31-36 秀華坊,,,370.0,,,370.0,,,
2017-12-15,,,31-36 SAU WA FONG|31-36 秀華坊,,,370.0,,,370.0,,,
2017-11-15,,,31-36 SAU WA FONG|31-36 秀華坊,,,370.0,,,370.0,,,
2017-10-15,,,31-36 SAU WA FONG|31-36 秀華坊,,,370.0,,,370.0,,,
