,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_A8,npsf_A8,nfa_A8,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,nfa_avg,lumpSum_change,npsf_change
2020-12-15,7138465.090909091,13723.818181818182,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",8705904.0,10669.0,816.0,10033296.0,13782.0,728.0,5644200.0,13800.0,409.0,8481760.0,15146.0,560.0,6007998.0,14618.0,411.0,7898800.0,14105.0,560.0,5880992.0,14137.0,416.0,6432432.0,13863.0,464.0,4714290.0,14966.0,315.0,7441382.0,13078.0,569.0,7282062.0,12798.0,569.0,,-0.0052491925444687615,-0.005251747837031084
2020-11-15,7176134.0,13796.272727272728,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",8751600.0,10725.0,816.0,10085712.0,13854.0,728.0,5673648.0,13872.0,409.0,8528240.0,15229.0,560.0,6039645.0,14695.0,411.0,7940800.0,14180.0,560.0,5911776.0,14211.0,416.0,6466304.0,13936.0,464.0,4739490.0,15046.0,315.0,7480074.0,13146.0,569.0,7320185.0,12865.0,569.0,,-0.022025752766616558,-0.02203276237611007
2020-10-15,7337753.545454546,14107.09090909091,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",8947440.0,10965.0,816.0,10312848.0,14166.0,728.0,5801256.0,14184.0,409.0,8721440.0,15574.0,560.0,6175686.0,15026.0,411.0,8119440.0,14499.0,560.0,6044896.0,14531.0,416.0,6612000.0,14250.0,464.0,4846589.999999999,15386.0,315.0,7648498.0,13442.0,569.0,7485195.0,13155.0,569.0,,0.013260718939392513,0.013261768105153893
2020-9-15,7241723.090909091,13922.454545454546,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",8830751.999999998,10822.0,816.0,10178168.0,13981.0,728.0,5725591.0,13999.0,409.0,8607200.0,15370.0,560.0,6095130.0,14830.0,411.0,8011920.0,14307.0,560.0,5965856.0,14341.0,416.0,6525696.0,14064.0,464.0,4782960.0,15184.0,315.0,7548354.0,13266.0,569.0,7387327.0,12983.0,569.0,,0.019688020011236818,0.019695184068074356
2020-8-15,7101900.7272727275,13653.545454545454,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",8661024.0,10614.0,816.0,9982336.0,13712.0,728.0,5615161.0,13729.0,409.0,8439200.0,15070.0,560.0,5977173.0,14543.0,411.0,7856800.0,14030.0,560.0,5851040.0,14065.0,416.0,6399488.0,13792.0,464.0,4690350.0,14890.0,315.0,7403259.0,13011.0,569.0,7245077.0,12733.0,569.0,,-0.04988955885031454,-0.04988771152933735
2020-7-15,7474816.0,14370.454545454546,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",9116352.0,11172.0,816.0,10506496.0,14432.0,728.0,5910050.0,14450.0,409.0,8881040.0,15859.0,560.0,6291177.0,15307.0,411.0,8269520.0,14767.0,560.0,6158464.0,14804.0,416.0,6735888.0,14517.0,464.0,4936365.0,15671.0,315.0,7791886.0,13694.0,569.0,7625738.0,13402.0,569.0,,0.020243000380647747,0.020246808400779637
2020-6-15,7326505.545454546,14085.272727272728,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",8936016.0,10951.0,816.0,10298288.0,14146.0,728.0,5793076.0,14164.0,409.0,8703520.0,15542.0,560.0,6166233.0,15003.0,411.0,8105440.0,14474.0,560.0,6036576.0,14511.0,416.0,6602256.0,14229.0,464.0,4838085.0,15359.0,315.0,7637687.0,13423.0,569.0,7474384.0,13136.0,569.0,,0.010548066692473101,0.010553091573180406
2020-5-15,7250031.7272727275,13938.181818181818,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",8842992.0,10837.0,816.0,10191272.0,13999.0,728.0,5732953.0,14017.0,409.0,8611120.0,15377.0,560.0,6101706.0,14846.0,411.0,8020880.0,14323.0,560.0,5973760.0,14360.0,416.0,6533584.0,14081.0,464.0,4787055.0,15197.0,315.0,7558596.0,13284.0,569.0,7396431.0,12999.0,569.0,,0.007131647947465236,0.0071337546146064135
2020-4-15,7198693.181818182,13839.454545454546,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",8780976.0,10761.0,816.0,10119200.0,13900.0,728.0,5692462.0,13918.0,409.0,8548960.0,15266.0,560.0,6058551.0,14741.0,411.0,7964320.0,14222.0,560.0,5931744.0,14259.0,416.0,6487184.0,13981.0,464.0,4753034.999999999,15089.0,315.0,7505110.0,13190.0,569.0,7344083.0,12907.0,569.0,,0.018343568493844442,0.018348930704858546
2020-3-15,7069022.090909091,13590.09090909091,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",8623488.0,10568.0,816.0,9937200.0,13650.0,728.0,5589803.0,13667.0,409.0,8393280.0,14988.0,560.0,5949636.000000001,14476.0,411.0,7820960.0,13966.0,560.0,5825248.0,14003.0,416.0,6370256.0,13729.0,464.0,4667040.0,14816.0,315.0,7370257.0,12953.0,569.0,7212075.0,12675.0,569.0,,0.005499408590938115,0.005502007762001382
2020-2-15,7030359.2727272725,13515.727272727272,"WETLAND SEASONS PARK(Phase 3),Block 1,WETLAND PARK RD|WETLAND SEASONS PARK3期,1座,濕地公園路",8576976.0,10511.0,816.0,9882600.0,13575.0,728.0,5559537.0,13593.0,409.0,8346240.0,14904.0,560.0,5916756.0,14396.0,411.0,7777840.0,13889.0,560.0,5793632.0,13927.0,416.0,6335920.0,13655.0,464.0,4641210.0,14734.0,315.0,7330427.0,12883.0,569.0,7172814.0,12606.0,569.0,,-0.02326181473581246,-0.023256883446223342
