,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_A8,npsf_A8,nfa_A8,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_change,npsf_change
2019-12-15,6511765.181818182,12862.636363636364,11,71629417.0,141489.0,5636,"WETLAND SEASONS PARK(Phase 2),Block 2,WETLAND PARK RD|WETLAND SEASONS PARK2期,2座,濕地公園路",8353425.0,13155.0,635.0,8453536.0,11612.0,728.0,5541132.0,13548.0,409.0,6770400.0,12090.0,560.0,5687418.0,13838.0,411.0,6792800.0,12130.0,560.0,5583968.0,13423.0,416.0,5721584.0,12331.0,464.0,4553640.0,14456.0,315.0,7094861.0,12469.0,569.0,7076653.0,12437.0,569.0,-0.0003395077303985916,-0.0003179448047818667
2019-11-15,6513976.7272727275,12866.727272727272,11,71653744.0,141534.0,5636,"WETLAND SEASONS PARK(Phase 2),Block 2,WETLAND PARK RD|WETLAND SEASONS PARK2期,2座,濕地公園路",8357870.0,13162.0,635.0,8458632.0,11619.0,728.0,5541950.0,13550.0,409.0,6771520.0,12092.0,560.0,5689473.0,13843.0,411.0,6795040.0,12134.0,560.0,5585632.0,13427.0,416.0,5722976.0,12334.0,464.0,4554585.0,14459.0,315.0,7097137.0,12473.0,569.0,7078929.0,12441.0,569.0,0.020148960731812826,0.020175154070710244
2019-10-15,6385319.181818182,12612.272727272728,11,70238511.0,138735.0,5636,"WETLAND SEASONS PARK(Phase 2),Block 2,WETLAND PARK RD|WETLAND SEASONS PARK2期,2座,濕地公園路",8195310.0,12906.0,635.0,8293376.0,11392.0,728.0,5431520.0,13280.0,409.0,6636560.0,11851.0,560.0,5576859.0,13569.0,411.0,6661200.0,11895.0,560.0,5474976.0,13161.0,416.0,5609296.0,12089.0,464.0,4463865.0,14171.0,315.0,6956594.0,12226.0,569.0,6938955.0,12195.0,569.0,0.010737514997337216,0.010753393220116703
2019-9-15,6317485.090909091,12478.09090909091,11,69492336.0,137259.0,5636,"WETLAND SEASONS PARK(Phase 2),Block 2,WETLAND PARK RD|WETLAND SEASONS PARK2期,2座,濕地公園路",8109585.0,12771.0,635.0,8206744.0,11273.0,728.0,5373033.0,13137.0,409.0,6564880.0,11723.0,560.0,5517675.0,13425.0,411.0,6590080.0,11768.0,560.0,5416736.0,13021.0,416.0,5549440.0,11960.0,464.0,4415985.0,14019.0,315.0,6882624.0,12096.0,569.0,6865554.0,12066.0,569.0,-0.05395095884204215,-0.05392775170075048
2019-8-15,6677756.454545454,13189.363636363636,11,73455321.0,145083.0,5636,"WETLAND SEASONS PARK(Phase 2),Block 2,WETLAND PARK RD|WETLAND SEASONS PARK2期,2座,濕地公園路",8574405.0,13503.0,635.0,8677032.0,11919.0,728.0,5678556.0,13884.0,409.0,6937840.0,12389.0,560.0,5832501.0,14191.0,411.0,6965840.0,12439.0,560.0,5724992.0,13762.0,416.0,5865424.0,12641.0,464.0,4667040.0,14816.0,315.0,7274665.0,12785.0,569.0,7257026.0,12754.0,569.0,0.041147815980354885,0.041170898339385475
2019-7-15,6413840.909090909,12667.818181818182,11,70552250.0,139346.0,5636,"WETLAND SEASONS PARK(Phase 2),Block 2,WETLAND PARK RD|WETLAND SEASONS PARK2期,2座,濕地公園路",8237220.0,12972.0,635.0,8336328.0,11451.0,728.0,5452788.0,13332.0,409.0,6662320.0,11897.0,560.0,5601930.0,13630.0,411.0,6690880.000000001,11948.0,560.0,5498688.0,13218.0,416.0,5632960.000000001,12140.0,464.0,4482135.0,14229.0,315.0,6986751.0,12279.0,569.0,6970250.0,12250.0,569.0,-0.04416466028934152,-0.044141554797950344
2019-6-15,6710194.363636363,13252.818181818182,11,73812138.0,145781.0,5636,"WETLAND SEASONS PARK(Phase 2),Block 2,WETLAND PARK RD|WETLAND SEASONS PARK2期,2座,濕地公園路",8620125.0,13575.0,635.0,8723624.0,11983.0,728.0,5703914.0,13946.0,409.0,6969200.0,12445.0,560.0,5860449.0,14259.0,411.0,6999440.0,12499.0,560.0,5752448.0,13828.0,416.0,5892800.0,12700.0,464.0,4688460.0,14884.0,315.0,7309374.0,12846.0,569.0,7292304.0,12816.0,569.0,0.0024488868413441445,0.0024755709285453342
2019-5-15,6693802.0,13220.09090909091,11,73631822.0,145421.0,5636,"WETLAND SEASONS PARK(Phase 2),Block 2,WETLAND PARK RD|WETLAND SEASONS PARK2期,2座,濕地公園路",8601075.0,13545.0,635.0,8704696.0,11957.0,728.0,5688781.0,13909.0,409.0,6950720.0,12412.0,560.0,5846064.0,14224.0,411.0,6982640.0,12469.0,560.0,5737888.0,13793.0,416.0,5877952.0,12668.0,464.0,4676175.0,14845.0,315.0,7291166.0,12814.0,569.0,7274665.0,12785.0,569.0,-0.0026177149159685165,-0.002353118739880866
2019-4-15,6711370.454545454,13251.272727272728,11,73825075.0,145764.0,5636,"WETLAND SEASONS PARK(Phase 2),Block 2,WETLAND PARK RD|WETLAND SEASONS PARK2期,2座,濕地公園路",8634730.0,13598.0,635.0,8738912.0,12004.0,728.0,5708822.0,13958.0,409.0,6974800.0,12455.0,560.0,5790579.0,14089.0,411.0,7007840.0,12514.0,560.0,5758688.0,13843.0,416.0,5898832.0,12713.0,464.0,4692555.0,14897.0,315.0,7317909.0,12861.0,569.0,7301408.0,12832.0,569.0,0.06016152407832953,0.060225189840272364
2019-3-15,6330516.909090909,12498.545454545454,11,69635686.0,137484.0,5636,"WETLAND SEASONS PARK(Phase 2),Block 2,WETLAND PARK RD|WETLAND SEASONS PARK2期,2座,濕地公園路",8143240.0,12824.0,635.0,8241688.0,11321.0,728.0,5381622.0,13158.0,409.0,6574960.0,11741.0,560.0,5459724.0,13284.0,411.0,6636000.0,11850.0,560.0,5429632.0,13052.0,416.0,5561504.0,11986.0,464.0,4423860.0,14044.0,315.0,6899125.0,12125.0,569.0,6884330.999999999,12099.0,569.0,0.03854054835623688,0.03856351838282501
2019-2-15,6095589.545454546,12034.454545454546,11,67051485.0,132379.0,5636,"WETLAND SEASONS PARK(Phase 2),Block 2,WETLAND PARK RD|WETLAND SEASONS PARK2期,2座,濕地公園路",7842885.000000001,12351.0,635.0,7937383.999999999,10903.0,728.0,5180803.000000001,12667.0,409.0,6330240.0,11304.0,560.0,5257101.0,12791.0,411.0,6389600.0,11410.0,560.0,5227872.0,12567.0,416.0,5354560.0,11540.0,464.0,4259115.0,13521.0,315.0,6643075.0,11675.0,569.0,6628850.0,11650.0,569.0,0.009143100561659567,0.0091708849179728
