,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_change,npsf_change
2019-12-15,6674603.285714285,12996.714285714286,7,46722223.0,90977.0,3592,"WETLAND SEASONS PARK(Block 21),WETLAND PARK RD|WETLAND SEASONS PARK21座,濕地公園路",9187200.0,13200.0,696.0,7410077.0,13697.0,541.0,7966536.0,12526.0,636.0,5258525.0,12373.0,425.0,5561568.0,12874.0,432.0,5557314.0,12894.0,431.0,5781003.0,13413.0,431.0,-0.00038130044590245493,-0.0003735812154574969
2019-11-15,6677149.285714285,13001.57142857143,7,46740045.0,91011.0,3592,"WETLAND SEASONS PARK(Block 21),WETLAND PARK RD|WETLAND SEASONS PARK21座,濕地公園路",9190680.0,13205.0,696.0,7412241.0,13701.0,541.0,7970988.0,12533.0,636.0,5261075.0,12379.0,425.0,5563296.0,12878.0,432.0,5559038.0,12898.0,431.0,5782727.0,13417.0,431.0,0.02007438548106877,0.020073974445191656
2019-10-15,6545747.428571428,12745.714285714286,7,45820232.0,89220.0,3592,"WETLAND SEASONS PARK(Block 21),WETLAND PARK RD|WETLAND SEASONS PARK21座,濕地公園路",9009024.0,12944.0,696.0,7266171.0,13431.0,541.0,7815168.0,12288.0,636.0,5158224.999999999,12137.0,425.0,5453568.0,12624.0,432.0,5449133.0,12643.0,431.0,5668943.0,13153.0,431.0,0.010675141472297422,0.010682284173680667
2019-9-15,6476608.714285715,12611.0,7,45336261.0,88277.0,3592,"WETLAND SEASONS PARK(Block 21),WETLAND PARK RD|WETLAND SEASONS PARK21座,濕地公園路",8913672.0,12807.0,696.0,7189349.0,13289.0,541.0,7733760.0,12160.0,636.0,5104250.0,12010.0,425.0,5395248.0,12489.0,432.0,5391379.0,12509.0,431.0,5608603.0,13013.0,431.0,-0.0540263917522158,-0.0540195889324675
2019-8-15,6846500.428571428,13331.142857142857,7,47925503.0,93318.0,3592,"WETLAND SEASONS PARK(Block 21),WETLAND PARK RD|WETLAND SEASONS PARK21座,濕地公園路",9422448.0,13538.0,696.0,7599427.0,14047.0,541.0,8177052.0,12857.0,636.0,5396225.0,12697.0,425.0,5703264.0,13202.0,432.0,5698682.0,13222.0,431.0,5928405.0,13755.0,431.0,0.04106406687729702,0.04106563137989894
2019-7-15,6576444.857142857,12805.285714285714,7,46035114.0,89637.0,3592,"WETLAND SEASONS PARK(Block 21),WETLAND PARK RD|WETLAND SEASONS PARK21座,濕地公園路",9050088.0,13003.0,696.0,7299171.999999999,13492.0,541.0,7855872.0,12352.0,636.0,5184150.0,12198.0,425.0,5477760.0,12680.0,432.0,5473700.0,12700.0,431.0,5694371.999999999,13212.0,431.0,-0.04421267902152204,-0.04420843862960244
2019-6-15,6880657.142857143,13397.57142857143,7,48164600.0,93783.0,3592,"WETLAND SEASONS PARK(Block 21),WETLAND PARK RD|WETLAND SEASONS PARK21座,濕地公園路",9468384.0,13604.0,696.0,7636756.0,14116.0,541.0,8220300.0,12925.0,636.0,5424700.0,12764.0,425.0,5730912.0,13266.0,432.0,5726266.0,13286.0,431.0,5957282.0,13822.0,431.0,0.002367596733750865,0.0023727835315996426
2019-5-15,6864405.0,13365.857142857143,7,48050835.0,93561.0,3592,"WETLAND SEASONS PARK(Block 21),WETLAND PARK RD|WETLAND SEASONS PARK21座,濕地公園路",9445416.0,13571.0,696.0,7618362.0,14082.0,541.0,8202492.0,12897.0,636.0,5412375.0,12735.0,425.0,5717088.0,13234.0,432.0,5712474.0,13254.0,431.0,5942628.0,13788.0,431.0,-0.003755951029350002,-0.0037481498834026628
2019-4-15,6890284.571428572,13416.142857142857,7,48231992.0,93913.0,3592,"WETLAND SEASONS PARK(Block 21),WETLAND PARK RD|WETLAND SEASONS PARK21座,濕地公園路",9480912.0,13622.0,696.0,7646494.0,14134.0,541.0,8234928.0,12948.0,636.0,5433200.0,12784.0,425.0,5738256.0,13283.0,432.0,5733593.0,13303.0,431.0,5964609.0,13839.0,431.0,0.0605135061250317,0.06051674684373376
2019-3-15,6497121.0,12650.57142857143,7,45479847.0,88554.0,3592,"WETLAND SEASONS PARK(Block 21),WETLAND PARK RD|WETLAND SEASONS PARK21座,濕地公園路",8939424.0,12844.0,696.0,7209907.0,13327.0,541.0,7766196.0,12211.0,636.0,5123800.0,12056.0,425.0,5410368.0,12524.0,432.0,5406033.0,12543.0,431.0,5624119.0,13049.0,431.0,0.03846621494756586,0.038476422783296105
2019-2-15,6256458.714285715,12181.857142857143,7,43795211.0,85273.0,3592,"WETLAND SEASONS PARK(Block 21),WETLAND PARK RD|WETLAND SEASONS PARK21座,濕地公園路",8608128.0,12368.0,696.0,6942653.0,12833.0,541.0,7479996.0,11761.0,636.0,4934675.0,11611.0,425.0,5209488.0,12059.0,432.0,5205187.0,12077.0,431.0,5415084.0,12564.0,431.0,0.00906406815162164,0.009064337865502425
2019-1-15,6200259.142857143,12072.42857142857,7,43401814.0,84507.0,3592,"WETLAND SEASONS PARK(Block 21),WETLAND PARK RD|WETLAND SEASONS PARK21座,濕地公園路",8530176.0,12256.0,696.0,6879897.0,12717.0,541.0,7413852.0,11657.0,636.0,4890900.0,11508.0,425.0,5162400.0,11950.0,432.0,5158208.0,11968.0,431.0,5366381.0,12451.0,431.0,0.056303130556919934,0.05631109222269437
2018-12-15,5869772.571428572,11428.857142857143,7,41088408.0,80002.0,3592,"WETLAND SEASONS PARK(Block 21),WETLAND PARK RD|WETLAND SEASONS PARK21座,濕地公園路",8074992.0,11602.0,696.0,6513099.000000001,12039.0,541.0,7020168.0,11038.0,636.0,4630800.0,10896.0,425.0,4886784.0,11312.0,432.0,4882799.0,11329.0,431.0,5079766.0,11786.0,431.0,-0.027714062461510203,-0.027709584113171815
2018-11-15,6037084.714285715,11754.57142857143,7,42259593.0,82282.0,3592,"WETLAND SEASONS PARK(Block 21),WETLAND PARK RD|WETLAND SEASONS PARK21座,濕地公園路",8304672.0,11932.0,696.0,6698121.0,12381.0,541.0,7221780.0,11355.0,636.0,4763400.0,11208.0,425.0,5025888.0,11634.0,432.0,5021581.0,11651.0,431.0,5224151.0,12121.0,431.0,-0.05123584568770412,-0.051230902277313195
2018-10-15,6363103.714285715,12389.285714285714,7,44541726.0,86725.0,3592,"WETLAND SEASONS PARK(Block 21),WETLAND PARK RD|WETLAND SEASONS PARK21座,濕地公園路",8752896.0,12576.0,696.0,7059509.0,13049.0,541.0,7612920.0,11970.0,636.0,5021375.0,11815.0,425.0,5296752.0,12261.0,432.0,5292249.0,12279.0,431.0,5506025.0,12775.0,431.0,-0.021906663076217914,-0.02190217330010047
