,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,nfa_avg,lumpSum_change,npsf_change
2020-12-15,6944793.0,14685.444444444445,"WETLAND SEASONS PARK(Phase 3),Block 9,WETLAND PARK RD|WETLAND SEASONS PARK3期,9座,濕地公園路",6896640.0,14368.0,480.0,5775432.0,18511.0,312.0,9606096.0,14044.0,684.0,9296244.0,13591.0,684.0,4527648.0,14328.0,316.0,7346160.0,13680.0,537.0,6168070.0,15655.0,394.0,6977241.0,12993.0,537.0,5909606.0,14999.0,394.0,,-0.005274628617630617,-0.005283319911794093
2020-11-15,6981618.444444444,14763.444444444445,"WETLAND SEASONS PARK(Phase 3),Block 9,WETLAND PARK RD|WETLAND SEASONS PARK3期,9座,濕地公園路",6933120.0,14444.0,480.0,5806008.0,18609.0,312.0,9656712.000000002,14118.0,684.0,9345492.0,13663.0,684.0,4552612.0,14407.0,316.0,7385361.000000001,13753.0,537.0,6201166.0,15739.0,394.0,7013757.0,13061.0,537.0,5940338.0,15077.0,394.0,,-0.021326568252262534,-0.02097732062069868
2020-10-15,7133757.0,15079.777777777777,"WETLAND SEASONS PARK(Phase 3),Block 9,WETLAND PARK RD|WETLAND SEASONS PARK3期,9座,濕地公園路",7088640.0,14768.0,480.0,5890872.0,18881.0,312.0,9873540.0,14435.0,684.0,9555480.0,13970.0,684.0,4655944.0,14734.0,316.0,7552367.999999999,14064.0,537.0,6341036.0,16094.0,394.0,7171635.0,13355.0,537.0,6074298.0,15417.0,394.0,,0.013246447823376917,0.013244340918592945
2020-9-15,7040495.444444444,14882.666666666666,"WETLAND SEASONS PARK(Phase 3),Block 9,WETLAND PARK RD|WETLAND SEASONS PARK3期,9座,濕地公園路",6995040.0,14573.0,480.0,5813808.0,18634.0,312.0,9744948.0,14247.0,684.0,9430992.0,13788.0,684.0,4595588.0,14543.0,316.0,7453560.0,13880.0,537.0,6258690.0,15885.0,394.0,7077123.0,13179.0,537.0,5994710.0,15215.0,394.0,,0.01971045608265176,0.019717709395983274
2020-8-15,6904406.444444444,14594.888888888889,"WETLAND SEASONS PARK(Phase 3),Block 9,WETLAND PARK RD|WETLAND SEASONS PARK3期,9座,濕地公園路",6859680.0,14291.0,480.0,5701800.0,18275.0,312.0,9556848.0,13972.0,684.0,9249048.0,13522.0,684.0,4505844.0,14259.0,316.0,7309107.0,13611.0,537.0,6137338.0,15577.0,394.0,6940725.0,12925.0,537.0,5879268.0,14922.0,394.0,,-0.047004105036307475,-0.04788344447665993
2020-7-15,7244948.777777778,15328.888888888889,"WETLAND SEASONS PARK(Phase 3),Block 9,WETLAND PARK RD|WETLAND SEASONS PARK3期,9座,濕地公園路",7220160.0,15042.0,480.0,6001320.0,19235.0,312.0,9861912.0,14418.0,684.0,9734688.0,14232.0,684.0,4741580.0,15005.0,316.0,7692525.0,14325.0,537.0,6458842.0,16393.0,394.0,7305348.0,13604.0,537.0,6188164.0,15706.0,394.0,,0.020263542641058896,0.020270819929151918
2020-6-15,7101056.222222222,15024.333333333334,"WETLAND SEASONS PARK(Phase 3),Block 9,WETLAND PARK RD|WETLAND SEASONS PARK3期,9座,濕地公園路",7076640.0,14743.0,480.0,5882448.0,18854.0,312.0,9666288.0,14132.0,684.0,9541800.0,13950.0,684.0,4646464.0,14704.0,316.0,7539480.0,14040.0,537.0,6330398.0,16067.0,394.0,7160358.0,13334.0,537.0,6065630.0,15395.0,394.0,,0.010567892629454345,0.010582722360485297
2020-5-15,7026797.777777778,14867.0,"WETLAND SEASONS PARK(Phase 3),Block 9,WETLAND PARK RD|WETLAND SEASONS PARK3期,9座,濕地公園路",7002720.0,14589.0,480.0,5820984.0,18657.0,312.0,9565740.0,13985.0,684.0,9442620.0,13805.0,684.0,4596852.0,14547.0,316.0,7460541.0,13893.0,537.0,6263812.0,15898.0,394.0,7085715.0,13195.0,537.0,6002196.0,15234.0,394.0,,0.007162697886896163,0.007173503951825255
2020-4-15,6976824.888888889,14761.111111111111,"WETLAND SEASONS PARK(Phase 3),Block 9,WETLAND PARK RD|WETLAND SEASONS PARK3期,9座,濕地公園路",6953280.000000001,14486.0,480.0,5779800.0,18525.0,312.0,9498024.0,13886.0,684.0,9375587.999999998,13707.0,684.0,4563040.0,14440.0,316.0,7407378.0,13794.0,537.0,6218896.0,15784.0,394.0,7035773.999999999,13102.0,537.0,5959644.0,15126.0,394.0,,0.018323173902040857,0.018335402964938963
2020-3-15,6851287.555555556,14495.333333333334,"WETLAND SEASONS PARK(Phase 3),Block 9,WETLAND PARK RD|WETLAND SEASONS PARK3期,9座,濕地公園路",6828000.0,14225.0,480.0,5675904.0,18192.0,312.0,9327708.0,13637.0,684.0,9207324.0,13461.0,684.0,4479932.0,14177.0,316.0,7273665.0,13545.0,537.0,6106606.0,15499.0,394.0,6909579.0,12867.0,537.0,5852870.0,14855.0,394.0,,0.0055111878421010285,0.0055186446948560786
2020-2-15,6813735.777777778,14415.777777777777,"WETLAND SEASONS PARK(Phase 3),Block 9,WETLAND PARK RD|WETLAND SEASONS PARK3期,9座,濕地公園路",6790560.0,14147.0,480.0,5645016.0,18093.0,312.0,9276408.0,13562.0,684.0,9157392.0,13388.0,684.0,4454652.0,14097.0,316.0,7233927.0,13471.0,537.0,6072722.0,15413.0,394.0,6871989.0,12797.0,537.0,5820956.0,14774.0,394.0,,-0.023251127483412848,-0.023240406838867966
2020-1-15,6975934.111111111,14758.777777777777,"WETLAND SEASONS PARK(Phase 3),Block 9,WETLAND PARK RD|WETLAND SEASONS PARK3期,9座,濕地公園路",6952320.0,14484.0,480.0,5779800.0,18525.0,312.0,9498024.0,13886.0,684.0,9375588.000000002,13707.0,684.0,4559564.0,14429.0,316.0,7405767.0,13791.0,537.0,6216926.0,15779.0,394.0,7035774.0,13102.0,537.0,5959644.0,15126.0,394.0,,-0.007856079745458655,-0.007842902919800832
2019-12-15,7031171.555555556,14875.444444444445,"WETLAND SEASONS PARK(Phase 3),Block 9,WETLAND PARK RD|WETLAND SEASONS PARK3期,9座,濕地公園路",7007520.0,14599.0,480.0,5825664.0,18672.0,312.0,9573948.0,13997.0,684.0,9450144.0,13816.0,684.0,4594640.0,14540.0,316.0,7464300.0,13900.0,537.0,6265782.0,15903.0,394.0,7091622.0,13206.0,537.0,6006924.0,15246.0,394.0,,0.0034906203611952957,0.0035004347435014793
2019-11-15,7006713.777777778,14823.555555555555,"WETLAND SEASONS PARK(Phase 3),Block 9,WETLAND PARK RD|WETLAND SEASONS PARK3期,9座,濕地公園路",6983520.0,14549.0,480.0,5805696.0,18608.0,312.0,9540432.0,13948.0,684.0,9417996.0,13769.0,684.0,4577576.0,14486.0,316.0,7437987.0,13851.0,537.0,6243324.0,15846.0,394.0,7067457.0,13161.0,537.0,5986436.0,15194.0,394.0,,0.016157308215133614,0.016170433166525777
2019-10-15,6895304.222222222,14587.666666666666,"WETLAND SEASONS PARK(Phase 3),Block 9,WETLAND PARK RD|WETLAND SEASONS PARK3期,9座,濕地公園路",6872640.0,14318.0,480.0,5713656.0,18313.0,312.0,9389268.0,13727.0,684.0,9268884.0,13551.0,684.0,4503632.0,14252.0,316.0,7319310.0,13630.0,537.0,6143642.0,15593.0,394.0,6955223.999999999,12952.0,537.0,5891482.0,14953.0,394.0,,-0.010915643393499708,-0.010767190584547781
2019-9-15,6971401.555555556,14746.444444444445,"WETLAND SEASONS PARK(Phase 3),Block 9,WETLAND PARK RD|WETLAND SEASONS PARK3期,9座,濕地公園路",6945120.0,14469.0,480.0,5774184.000000001,18507.0,312.0,9489132.0,13873.0,684.0,9395424.0,13736.0,684.0,4550400.0,14400.0,316.0,7396638.0,13774.0,537.0,6208258.0,15757.0,394.0,7029330.0,13090.0,537.0,5954128.0,15112.0,394.0,,-0.03614358588652855,-0.03613110325143609
2019-8-15,7232821.666666667,15299.222222222223,"WETLAND SEASONS PARK(Phase 3),Block 9,WETLAND PARK RD|WETLAND SEASONS PARK3期,9座,濕地公園路",7205760.0,15012.0,480.0,5991024.0,19202.0,312.0,9845496.0,14394.0,684.0,9748368.0,14252.0,684.0,4719776.0,14936.0,316.0,7673730.0,14290.0,537.0,6440718.0,16347.0,394.0,7292997.0,13581.0,537.0,6177526.0,15679.0,394.0,,0.0437510461297963,0.04376137052759255
2019-7-15,6929642.555555556,14657.777777777777,"WETLAND SEASONS PARK(Phase 3),Block 9,WETLAND PARK RD|WETLAND SEASONS PARK3期,9座,濕地公園路",6903840.0,14383.0,480.0,5740176.0,18398.0,312.0,9433044.0,13791.0,684.0,9340020.0,13655.0,684.0,4520696.0,14306.0,316.0,7352067.0,13691.0,537.0,6170434.0,15661.0,394.0,6987444.0,13012.0,537.0,5919062.0,15023.0,394.0,,-0.043052124879101705,-0.04303859908743379
2019-6-15,7241400.222222222,15317.0,"WETLAND SEASONS PARK(Phase 3),Block 9,WETLAND PARK RD|WETLAND SEASONS PARK3期,9座,濕地公園路",7214400.0,15030.0,480.0,5998824.0,19227.0,312.0,9858492.0,14413.0,684.0,9760680.0,14270.0,684.0,4722936.0,14946.0,316.0,7682322.0,14306.0,537.0,6447416.0,16364.0,394.0,7302126.0,13598.0,537.0,6185406.0,15699.0,394.0,,0.003918715806779938,0.003932621091957689
2019-5-15,7213134.0,15257.0,"WETLAND SEASONS PARK(Phase 3),Block 9,WETLAND PARK RD|WETLAND SEASONS PARK3期,9座,濕地公園路",7186560.0,14972.0,480.0,5975424.0,19152.0,312.0,9820188.0,14357.0,684.0,9723060.0,14215.0,684.0,4703344.0,14884.0,316.0,7652250.0,14250.0,537.0,6421806.0,16299.0,394.0,7274202.0,13546.0,537.0,6161372.0,15638.0,394.0,,-0.006199073470876337,-0.006188118811881194
2019-4-15,7258127.666666667,15352.0,"WETLAND SEASONS PARK(Phase 3),Block 9,WETLAND PARK RD|WETLAND SEASONS PARK3期,9座,濕地公園路",7231200.0,15065.0,480.0,6013176.0,19273.0,312.0,9881748.0,14447.0,684.0,9784620.0,14305.0,684.0,4731468.0,14973.0,316.0,7699506.0,14338.0,537.0,6461206.0,16399.0,394.0,7319847.0,13631.0,537.0,6200378.0,15737.0,394.0,,,
2019-3-15,,,"WETLAND SEASONS PARK(Phase 3),Block 9,WETLAND PARK RD|WETLAND SEASONS PARK3期,9座,濕地公園路",,,480.0,,,312.0,,,684.0,,,684.0,,,316.0,,,537.0,,,394.0,,,537.0,,,394.0,,,
2019-2-15,,,"WETLAND SEASONS PARK(Phase 3),Block 9,WETLAND PARK RD|WETLAND SEASONS PARK3期,9座,濕地公園路",,,480.0,,,312.0,,,684.0,,,684.0,,,316.0,,,537.0,,,394.0,,,537.0,,,394.0,,,
2019-1-15,,,"WETLAND SEASONS PARK(Phase 3),Block 9,WETLAND PARK RD|WETLAND SEASONS PARK3期,9座,濕地公園路",,,480.0,,,312.0,,,684.0,,,684.0,,,316.0,,,537.0,,,394.0,,,537.0,,,394.0,,,
2018-12-15,,,"WETLAND SEASONS PARK(Phase 3),Block 9,WETLAND PARK RD|WETLAND SEASONS PARK3期,9座,濕地公園路",,,480.0,,,312.0,,,684.0,,,684.0,,,316.0,,,537.0,,,394.0,,,537.0,,,394.0,,,
2018-11-15,,,"WETLAND SEASONS PARK(Phase 3),Block 9,WETLAND PARK RD|WETLAND SEASONS PARK3期,9座,濕地公園路",,,480.0,,,312.0,,,684.0,,,684.0,,,316.0,,,537.0,,,394.0,,,537.0,,,394.0,,,
