,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,nfa_avg,lumpSum_change,npsf_change
2020-12-15,7046027.5,14083.25,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",9540949.0,14219.0,671.0,7270592.0,16229.0,448.0,7899744.0,13908.0,568.0,4986018.0,13623.0,366.0,9548448.0,14209.0,672.0,5727995.999999999,13446.0,426.0,5771912.0,13613.0,424.0,5622561.0,13419.0,419.0,,-0.005253844399705776,-0.005253352875217443
2020-11-15,7083241.75,14157.625,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",9591274.0,14294.0,671.0,7309568.0,16316.0,448.0,7941776.0,13982.0,568.0,5012736.0,13696.0,366.0,9598847.999999998,14284.0,672.0,5758668.0,13518.0,426.0,5801592.000000001,13683.0,424.0,5651472.0,13488.0,419.0,,-0.022016342111114806,-0.02201863380853286
2020-10-15,7242699.5,14476.375,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",9806665.0,14615.0,671.0,7475328.0,16686.0,448.0,8121264.0,14298.0,568.0,5125830.0,14005.0,366.0,9814560.0,14605.0,672.0,5888598.0,13823.0,426.0,5931760.0,13990.0,424.0,5777591.0,13789.0,419.0,,0.01318832700705519,0.013193004558060606
2020-9-15,7148423.75,14287.875,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",9679846.0,14426.0,671.0,7377664.0,16468.0,448.0,8015048.0,14111.0,568.0,5058852.0,13822.0,366.0,9686880.0,14415.0,672.0,5811918.0,13643.0,426.0,5854592.0,13808.0,424.0,5702590.0,13610.0,419.0,,0.019685863579347096,0.01968848130174128
2020-8-15,7010417.625,14012.0,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",9493308.0,14148.0,671.0,7234304.0,16148.0,448.0,7859984.0,13838.0,568.0,4960764.0,13554.0,366.0,9500064.0,14137.0,672.0,5699454.0,13379.0,426.0,5742232.0,13543.0,424.0,5593231.0,13349.0,419.0,,-0.04988637941469032,-0.04988896611347493
2020-7-15,7378504.5,14747.75,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",9991861.0,14891.0,671.0,7613312.0,16994.0,448.0,8272352.0,14564.0,568.0,5220990.0,14265.0,366.0,9998688.0,14879.0,672.0,5998506.0,14081.0,426.0,6044120.0,14255.0,424.0,5888207.0,14053.0,419.0,,0.020225031140540528,0.020226040486670094
2020-6-15,7232232.375,14455.375,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",9793916.0,14596.0,671.0,7461440.0,16655.0,448.0,8107632.0,14274.0,568.0,5117412.0,13982.0,366.0,9801120.0,14585.0,672.0,5878800.0,13800.0,426.0,5924976.0,13974.0,424.0,5772563.0,13777.0,419.0,,0.01054758335701722,0.010547380195043532
2020-5-15,7156746.0,14304.5,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",9691924.0,14444.0,671.0,7382592.0,16479.0,448.0,8022432.0,14124.0,568.0,5063610.0,13835.0,366.0,9698976.0,14433.0,672.0,5817030.0,13655.0,426.0,5863920.0,13830.0,424.0,5713484.0,13636.0,419.0,,0.007137178866002403,0.0071375137513751685
2020-4-15,7106029.0,14203.125,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",9623482.0,14342.0,671.0,7329280.0,16360.0,448.0,7965064.0,14023.0,568.0,5027376.0,13736.0,366.0,9630432.0,14331.0,672.0,5775708.0,13558.0,426.0,5822792.000000001,13733.0,424.0,5674098.0,13542.0,419.0,,0.01832918778959347,0.018327657286252075
2020-3-15,6978125.625,13947.5,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",9450364.0,14084.0,671.0,7196672.0,16064.0,448.0,7821360.0,13770.0,568.0,4936608.0,13488.0,366.0,9457056.0,14073.0,672.0,5671338.0,13313.0,426.0,5718488.0,13487.0,424.0,5573119.0,13301.0,419.0,,0.00547580362545097,0.005478859532134228
2020-2-15,6940122.875,13871.5,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",9399367.999999998,14008.0,671.0,7156352.0,15974.0,448.0,7778192.0,13694.0,568.0,4909524.0,13414.0,366.0,9405984.0,13997.0,672.0,5639814.0,13239.0,426.0,5687960.0,13415.0,424.0,5543789.0,13231.0,419.0,,-0.023264436989383408,-0.023262773401399484
