,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,11095808.0,13354.0,3,33287424.0,40062.0,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",10175789.0,13267.0,767.0,10217974.0,13322.0,767.0,12893661.0,13473.0,957.0,-0.00025888961463416127,-0.00024955080854471845
2019-11-15,11098681.333333334,13357.333333333334,3,33296044.0,40072.0,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",10178090.0,13270.0,767.0,10219508.0,13324.0,767.0,12898446.0,13478.0,957.0,0.020208597084504065,0.02021487855797144
2019-10-15,10878835.333333334,13092.666666666666,3,32636506.0,39278.0,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",9976369.0,13007.0,767.0,10016253.0,13059.0,767.0,12643884.0,13212.0,957.0,0.010800995027032911,0.010808585104740365
2019-9-15,10762588.666666666,12952.666666666666,3,32287766.0,38858.0,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",9869756.0,12868.0,767.0,9908106.0,12918.0,767.0,12509904.0,13072.0,957.0,-0.053911661760184915,-0.053905336969224726
2019-8-15,11375881.333333334,13690.666666666666,3,34127644.0,41072.0,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",10431967.0,13601.0,767.0,10471851.0,13653.0,767.0,13223826.0,13818.0,957.0,0.04121462638682849,0.041220909597931454
2019-7-15,10925587.333333334,13148.666666666666,3,32776762.0,39446.0,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",10018554.0,13062.0,767.0,10056904.0,13112.0,767.0,12701304.0,13272.0,957.0,-0.04411280676496698,-0.04410410507439544
2019-6-15,11429787.333333334,13755.333333333334,3,34289362.0,41266.0,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",10481055.0,13665.0,767.0,10519405.0,13715.0,767.0,13288902.0,13886.0,957.0,0.003939386229402153,0.004063359205820127
2019-5-15,11384937.666666666,13699.666666666666,3,34154813.0,41099.0,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",10421229.0,13587.0,767.0,10477220.0,13660.0,767.0,13256364.0,13852.0,957.0,-0.003644426389077693,-0.003636451792770723
2019-4-15,11426581.0,13749.666666666666,3,34279743.0,41249.0,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",10458812.0,13636.0,767.0,10514803.0,13709.0,767.0,13306128.0,13904.0,957.0,0.06065103669515004,0.060658266906659764
2019-3-15,10773176.666666666,12963.333333333334,3,32319530.0,38890.0,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",9860552.0,12856.0,767.0,9912708.0,12924.0,767.0,12546270.0,13110.0,957.0,0.0386084526732795,0.038617669052451564
2019-2-15,10372702.666666666,12481.333333333334,3,31118108.0,37444.0,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",9493926.0,12378.0,767.0,9543014.0,12442.0,767.0,12081168.0,12624.0,957.0,0.009184624915772988,0.00919063148532473
2019-1-15,10278300.333333334,12367.666666666666,3,30834901.0,37103.0,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",9407255.0,12265.0,767.0,9455576.0,12328.0,767.0,11972070.0,12510.0,957.0,0.06552467349779545,0.06630072422117483
2018-12-15,9646234.0,11598.666666666666,3,28938702.0,34796.0,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",8904103.0,11609.0,767.0,8700848.0,11344.0,767.0,11333751.0,11843.0,957.0,,
2018-11-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
2018-10-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
2018-9-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
2018-8-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
2018-7-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
2018-6-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
2018-5-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
2018-4-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
2018-3-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
2018-2-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
2018-1-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
2017-12-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
2017-11-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
2017-10-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
2017-9-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
2017-8-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
2017-7-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
2017-6-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
