,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,nfa_avg,lumpSum_change,npsf_change
2020-12-15,14091262.666666666,12168.0,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14170080.0,11140.0,1272.0,15655052.0,12356.0,1267.0,12448656.0,13008.0,957.0,,-0.005153417742514432,-0.005150846210448812
2020-11-15,14164257.0,12231.0,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14243856.0,11198.0,1272.0,15736140.0,12420.0,1267.0,12512775.0,13075.0,957.0,,-0.021069612939026205,-0.02089337175792505
2020-10-15,14469115.666666666,12492.0,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14563128.0,11449.0,1272.0,16088366.0,12698.0,1267.0,12755853.0,13329.0,957.0,,0.013302929119341611,0.013303049967553493
2020-9-15,14279161.0,12328.0,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14372328.000000002,11299.0,1272.0,15876777.0,12531.0,1267.0,12588378.0,13154.0,957.0,,0.019770134019809316,0.019770038878319074
2020-8-15,14002333.0,12089.0,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14093760.0,11080.0,1272.0,15568896.0,12288.0,1267.0,12344343.0,12899.0,957.0,,-0.04986154039281676,-0.049855907780979924
2020-7-15,14737150.0,12723.333333333334,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14834064.0,11662.0,1272.0,16386111.0,12933.0,1267.0,12991275.0,13575.0,957.0,,0.02067763661752653,0.020697400791528597
2020-6-15,14438594.0,12465.333333333334,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14531328.0,11424.0,1272.0,16059225.0,12675.0,1267.0,12725229.0,13297.0,957.0,,0.010536545908232497,0.01053883154083124
2020-5-15,14288047.333333334,12335.333333333334,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14378688.000000002,11304.0,1272.0,15893248.0,12544.0,1267.0,12592206.0,13158.0,957.0,,0.007048848708562483,0.0070481944104281435
2020-4-15,14188038.0,12249.0,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14278200.0,11225.0,1272.0,15781752.0,12456.0,1267.0,12504162.0,13066.0,957.0,,0.018232421286052958,0.018232702485522
2020-3-15,13933987.666666666,12029.666666666666,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14022528.0,11024.0,1272.0,15499211.0,12233.0,1267.0,12280224.0,12832.0,957.0,,0.00448725196127131,0.004285515514122595
2020-2-15,13871741.666666666,11978.333333333334,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",13946208.0,10964.0,1272.0,15415589.0,12167.0,1267.0,12253428.0,12804.0,957.0,,-0.023346687310320524,-0.02334619774963298
