,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_change,npsf_change
2019-12-15,6404626.285714285,13604.285714285714,7,44832384.0,95230.0,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",6110045.000000001,14723.0,415.0,6349248.000000001,14496.0,438.0,6201702.0,14031.0,442.0,5940731.0,14111.0,421.0,6787980.0,13155.0,516.0,6929472.0,11968.0,579.0,6513206.0,12746.0,511.0,-0.000357359372219479,-0.0003673962105704698
2019-11-15,6406915.857142857,13609.285714285714,7,44848411.0,95265.0,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",6113365.0,14731.0,415.0,6353190.0,14505.0,438.0,6204354.0,14037.0,442.0,5941573.0,14113.0,421.0,6790560.0,13160.0,516.0,6930630.0,11970.0,579.0,6514739.0,12749.0,511.0,0.020090443490537124,0.02007709604882746
2019-10-15,6280733.142857143,13341.42857142857,7,43965132.0,93390.0,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",5994260.0,14444.0,415.0,6230112.0,14224.0,438.0,6082804.0,13762.0,442.0,5823272.000000001,13832.0,421.0,6656400.0,12900.0,516.0,6792828.0,11732.0,579.0,6385456.0,12496.0,511.0,0.010705770743653531,0.010692409255210977
2019-9-15,6214205.285714285,13200.285714285714,7,43499437.0,92402.0,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",5932010.0,14294.0,415.0,6166164.0,14078.0,438.0,6019156.0,13618.0,442.0,5760122.0,13682.0,421.0,6585708.0,12763.0,516.0,6719295.0,11605.0,579.0,6316982.0,12362.0,511.0,-0.05399060741874517,-0.054004525118502844
2019-8-15,6568862.142857143,13953.857142857143,7,45982035.0,97677.0,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",6271895.0,15113.0,415.0,6520068.0,14886.0,438.0,6363474.0,14397.0,442.0,6087660.0,14460.0,421.0,6961356.0,13491.0,516.0,7100856.0,12264.0,579.0,6676726.0,13066.0,511.0,0.04106769151373335,0.04105515587529962
2019-7-15,6309735.857142857,13403.57142857143,7,44168151.0,93825.0,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",6025800.0,14520.0,415.0,6264714.0,14303.0,438.0,6113302.0,13831.0,442.0,5846006.000000001,13886.0,421.0,6686328.0,12958.0,516.0,6819462.0,11778.0,579.0,6412539.0,12549.0,511.0,-0.044169133529124216,-0.0441820663800655
2019-6-15,6601310.0,14023.142857142857,7,46209170.0,98162.0,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",6305510.0,15194.0,415.0,6556422.0,14969.0,438.0,6396624.000000001,14472.0,442.0,6114604.0,14524.0,421.0,6995412.0,13557.0,516.0,7132701.0,12319.0,579.0,6707897.0,13127.0,511.0,0.002403381741544086,0.0023895106608937677
2019-5-15,6585482.571428572,13989.714285714286,7,46098378.0,97928.0,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",6291815.0,15161.0,415.0,6542844.0,14938.0,438.0,6382038.0,14439.0,442.0,6098606.0,14486.0,421.0,6977868.0,13523.0,516.0,7114172.999999999,12287.0,579.0,6691034.0,13094.0,511.0,-0.0037107353664487253,-0.0037235233076281515
2019-4-15,6610010.571428572,14042.0,7,46270074.0,98294.0,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",6316715.0,15221.0,415.0,6569124.0,14998.0,438.0,6406790.0,14495.0,442.0,6119656.0,14536.0,421.0,7003668.0,13573.0,516.0,7139070.0,12330.0,579.0,6715051.0,13141.0,511.0,0.06055390989523657,0.060539689047613976
2019-3-15,6232602.142857143,13240.42857142857,7,43628215.0,92683.0,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",5957325.0,14355.0,415.0,6196385.999999999,14147.0,438.0,6041698.0,13669.0,442.0,5768542.0,13702.0,421.0,6603768.0,12798.0,516.0,6729717.0,11623.0,579.0,6330779.0,12389.0,511.0,0.038490068398663535,0.03847662158679643
2019-2-15,6001600.142857143,12749.857142857143,7,42011201.0,89249.0,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",5737790.0,13826.0,415.0,5968626.000000001,13627.0,438.0,5818488.0,13164.0,442.0,5553411.0,13191.0,421.0,6358668.0,12323.0,516.0,6479010.0,11190.0,579.0,6095208.0,11928.0,511.0,0.009083315689091709,0.009067577193121457
