,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A9,npsf_A9,nfa_A9,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_B7,npsf_B7,nfa_B7,lumpSum_B8,npsf_B8,nfa_B8,lumpSum_B9,npsf_B9,nfa_B9,lumpSum_C3,npsf_C3,nfa_C3,nfa_avg,lumpSum_change,npsf_change
2022-12-15,6140420.461538462,14543.846153846154,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",7130955.0,14065.0,507.0,6110208.0,13824.0,442.0,6239904.0,14928.0,418.0,6382344.0,15643.0,408.0,5192972.0,14587.0,356.0,6300812.0,14756.0,427.0,6548665.0,14585.0,449.0,5897006.0,14074.0,419.0,6035724.0,15516.0,389.0,4979016.0,13986.0,356.0,6326556.0,14249.0,444.0,6366170.0,14306.0,445.0,6315134.0,14551.0,434.0,,-0.011218115562553033,-0.011202225801727916
2022-11-15,6210085.923076923,14708.615384615385,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",7217145.0,14235.0,507.0,6184463.999999999,13992.0,442.0,6315144.0,15108.0,418.0,6459456.0,15832.0,408.0,5255628.0,14763.0,356.0,6376818.0,14934.0,427.0,6627240.0,14760.0,449.0,5968236.0,14244.0,419.0,6083571.0,15639.0,389.0,5038824.0,14154.0,356.0,6402924.0,14421.0,444.0,6442265.0,14477.0,445.0,6359402.0,14653.0,434.0,,-0.041360079503909075,-0.0413612617942265
2022-10-15,6478017.230769231,15343.23076923077,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",7528443.000000001,14849.0,507.0,6451874.000000001,14597.0,442.0,6587680.0,15760.0,418.0,6737711.999999999,16514.0,408.0,5482400.0,15400.0,356.0,6651806.0,15578.0,427.0,6913253.0,15397.0,449.0,6225921.0,14859.0,419.0,6346146.0,16314.0,389.0,5256696.0,14766.0,356.0,6679092.0,15043.0,444.0,6719945.0,15101.0,445.0,6633256.0,15284.0,434.0,,-0.01364092762482183,-0.013662999134627207
2022-9-15,6567605.461538462,15555.76923076923,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",7639476.0,15068.0,507.0,6546904.0,14812.0,442.0,6685074.0,15993.0,418.0,6836448.0,16756.0,408.0,5562856.0,15626.0,356.0,6750016.0,15808.0,427.0,7015176.0,15624.0,449.0,6317682.0,15078.0,419.0,6439506.0,16554.0,389.0,5333948.0,14983.0,356.0,6777660.0,15265.0,444.0,6818735.0,15323.0,445.0,6655390.0,15335.0,434.0,,-0.0367756214049878,-0.036776123384108406
2022-8-15,6818354.692307692,16149.692307692309,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",7931508.0,15644.0,507.0,6796634.000000001,15377.0,442.0,6940472.0,16604.0,418.0,7097160.0,17395.0,408.0,5775388.0,16223.0,356.0,7007497.0,16411.0,427.0,7283229.0,16221.0,449.0,6559026.0,15654.0,419.0,6685354.0,17186.0,389.0,5537936.0,15556.0,356.0,7036512.0,15848.0,444.0,7078615.0,15907.0,445.0,6909280.0,15920.0,434.0,,-0.03009715648457889,-0.0300978005275776
2022-7-15,7029935.769230769,16650.846153846152,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",8177910.0,16130.0,507.0,7007026.0,15853.0,442.0,7155742.0,17119.0,418.0,7317072.0,17934.0,408.0,5954812.0,16727.0,356.0,7225267.0,16921.0,427.0,7509076.0,16724.0,449.0,6762660.0,16140.0,419.0,6893080.0,17720.0,389.0,5709884.0,16039.0,356.0,7254960.0,16340.0,444.0,7298000.0,16400.0,445.0,7123676.0,16414.0,434.0,,0.015660959383059225,0.015662317065731957
2022-6-15,6921537.846153846,16394.076923076922,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",8052174.0,15882.0,507.0,6898736.0,15608.0,442.0,7045390.0,16855.0,418.0,7204056.0,17657.0,408.0,5862964.0,16469.0,356.0,7113820.0,16660.0,427.0,7393683.0,16467.0,449.0,6658329.0,15891.0,419.0,6786883.0,17447.0,389.0,5621596.0,15791.0,356.0,7143072.0,16088.0,444.0,7185415.0,16147.0,445.0,7013874.0,16161.0,434.0,,-0.011771441802201354,-0.011773052276247253
2022-5-15,7003984.846153846,16589.384615384617,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",8147997.0,16071.0,507.0,6980948.0,15794.0,442.0,7129408.0,17056.0,418.0,7289328.0,17866.0,408.0,5933096.0,16666.0,356.0,7198793.0,16859.0,427.0,7481687.0,16663.0,449.0,6737939.0,16081.0,419.0,6867795.0,17655.0,389.0,5688880.0,15980.0,356.0,7228320.0,16280.0,444.0,7270410.0,16338.0,445.0,7097202.0,16353.0,434.0,,-0.0014405730338866718,-0.0014399948141664565
2022-4-15,7014089.153846154,16613.30769230769,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",8160165.0,16095.0,507.0,6990672.0,15816.0,442.0,7139858.0,17081.0,418.0,7299528.0,17891.0,408.0,5941640.0,16690.0,356.0,7209041.0,16883.0,427.0,7492463.0,16687.0,449.0,6747576.0,16104.0,419.0,6877909.0,17681.0,389.0,5697068.0,16003.0,356.0,7238976.0,16304.0,444.0,7280645.0,16361.0,445.0,7107618.0,16377.0,434.0,,0.021269387821846175,0.02126965362335964
2022-3-15,6868010.769230769,16267.307692307691,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",7990320.0,15760.0,507.0,6844812.0,15486.0,442.0,6991468.0,16726.0,418.0,7146936.0,17517.0,408.0,5817752.0,16342.0,356.0,7059164.0,16532.0,427.0,7336660.0,16340.0,449.0,6607211.0,15769.0,419.0,6734757.0,17313.0,389.0,5578520.0,15670.0,356.0,7088016.0,15964.0,444.0,7128900.0,16020.0,445.0,6959624.0,16036.0,434.0,,-0.02430427531178092,-0.024305283215605544
2022-2-15,7039090.769230769,16672.53846153846,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",8189571.0,16153.0,507.0,7014982.0,15871.0,442.0,7165774.0,17143.0,418.0,7324824.0,17953.0,408.0,5963000.0,16750.0,356.0,7235088.0,16944.0,427.0,7519403.0,16747.0,449.0,6771878.0,16162.0,419.0,6902416.0,17744.0,389.0,5717716.0,16061.0,356.0,7264728.0,16362.0,444.0,7306010.0,16418.0,445.0,7132790.0,16435.0,434.0,,-0.011772645044147545,-0.01177248375698181
