,lumpSum_avg,npsf_avg,final_address,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_A7,npsf_A7,nfa_A7,lumpSum_A9,npsf_A9,nfa_A9,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_B7,npsf_B7,nfa_B7,lumpSum_C1,npsf_C1,nfa_C1,lumpSum_C2,npsf_C2,nfa_C2,lumpSum_C3,npsf_C3,nfa_C3,lumpSum_C5,npsf_C5,nfa_C5,lumpSum_C6,npsf_C6,nfa_C6,nfa_avg,lumpSum_change,npsf_change
2022-12-15,6653526.0,14079.933333333332,"WETLAND SEASONS BAY(Phase 3),Block T6B,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6B座,濕地公園路",6382086.0,14214.0,449.0,6004128.0,14433.0,416.0,5279468.0,14956.0,353.0,6327622.0,13846.0,457.0,6019570.0,13999.0,430.0,7145542.000000001,14494.0,493.0,7339727.999999999,13901.0,528.0,7889651.0,14267.0,553.0,9013171.0,13513.0,667.0,8634213.0,13263.0,651.0,6259944.0,13668.0,458.0,6208459.0,14207.0,437.0,6185574.0,13869.0,446.0,6068590.0,14113.0,430.0,5045144.0,14456.0,349.0,,-0.01217757761481053,-0.012216396724209821
2022-11-15,6735548.666666667,14254.066666666668,"WETLAND SEASONS BAY(Phase 3),Block T6B,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6B座,濕地公園路",6458865.0,14385.0,449.0,6076928.0,14608.0,416.0,5343714.0,15138.0,353.0,6403483.999999999,14012.0,457.0,6092670.0,14169.0,430.0,7231324.0,14668.0,493.0,7428960.0,14070.0,528.0,7983108.0,14436.0,553.0,9121225.0,13675.0,667.0,8735769.0,13419.0,651.0,6335514.0,13833.0,458.0,6313339.0,14447.0,437.0,6260502.0,14037.0,446.0,6141260.0,14282.0,430.0,5106568.0,14632.0,349.0,,-0.04186733299661771,-0.041923761129557535
2022-10-15,7029870.6,14877.8,"WETLAND SEASONS BAY(Phase 3),Block T6B,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6B座,濕地公園路",6737245.0,15005.0,449.0,6340256.0,15241.0,416.0,5574929.0,15793.0,353.0,6679969.0,14617.0,457.0,6356260.0,14782.0,430.0,7543392.999999999,15301.0,493.0,7749984.0,14678.0,528.0,8325415.0,15055.0,553.0,9514755.0,14265.0,667.0,9110094.0,13994.0,651.0,6608940.0,14430.0,458.0,6642400.0,15200.0,437.0,6531224.0,14644.0,446.0,6405710.0,14897.0,430.0,5327485.0,15265.0,349.0,,-0.014494091439865242,-0.014497681607418822
2022-9-15,7133260.733333333,15096.666666666666,"WETLAND SEASONS BAY(Phase 3),Block T6B,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6B座,濕地公園路",6836923.0,15227.0,449.0,6433440.0,15465.0,416.0,5656825.0,16025.0,353.0,6778681.0,14833.0,457.0,6450000.0,15000.0,430.0,7654318.0,15526.0,493.0,7863504.0,14893.0,528.0,8448734.0,15278.0,553.0,9653491.000000002,14473.0,667.0,9243549.000000002,14199.0,651.0,6706494.0,14643.0,458.0,6739851.0,15423.0,437.0,6627560.0,14860.0,446.0,6499880.0,15116.0,430.0,5405661.0,15489.0,349.0,,-0.03676318925876676,-0.036755979599389255
2022-8-15,7405510.933333334,15672.733333333334,"WETLAND SEASONS BAY(Phase 3),Block T6B,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6B座,濕地公園路",7098241.0,15809.0,449.0,6678464.0,16054.0,416.0,5872155.0,16635.0,353.0,7037343.0,15399.0,457.0,6695960.0,15572.0,430.0,7947160.0,16120.0,493.0,8162880.0,15460.0,528.0,8771686.0,15862.0,553.0,10022342.0,15026.0,667.0,9597042.0,14742.0,651.0,6962516.0,15202.0,458.0,6996807.0,16011.0,437.0,6879996.0,15426.0,446.0,6748850.0,15695.0,430.0,5611222.0,16078.0,349.0,,-0.030108311549783995,-0.03010462564153349
2022-7-15,7635399.933333334,16159.2,"WETLAND SEASONS BAY(Phase 3),Block T6B,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6B座,濕地公園路",7319149.0,16301.0,449.0,6885216.0,16551.0,416.0,6053950.0,17150.0,353.0,7256246.0,15878.0,457.0,6903220.0,16054.0,430.0,8194153.000000001,16621.0,493.0,8415792.0,15939.0,528.0,9044868.0,16356.0,553.0,10333831.0,15493.0,667.0,9894549.0,15199.0,651.0,7178692.0,15674.0,458.0,7213559.0,16507.0,437.0,7093630.0,15905.0,446.0,6959120.0,16184.0,430.0,5785024.0,16576.0,349.0,,0.015675118896492535,0.01568012872623048
2022-6-15,7517561.266666667,15909.733333333334,"WETLAND SEASONS BAY(Phase 3),Block T6B,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6B座,濕地公園路",7206450.0,16050.0,449.0,6778304.0,16294.0,416.0,5960052.0,16884.0,353.0,7144281.0,15633.0,457.0,6796150.0,15805.0,430.0,8067945.0,16365.0,493.0,8285376.0,15692.0,528.0,8906065.0,16105.0,553.0,10174418.0,15254.0,667.0,9742215.0,14965.0,651.0,7068314.0,15433.0,458.0,7102124.0,16252.0,437.0,6983914.0,15659.0,446.0,6852480.0,15936.0,430.0,5695331.0,16319.0,349.0,,-0.011775569257985286,-0.011768700722189163
2022-5-15,7607139.666666667,16099.2,"WETLAND SEASONS BAY(Phase 3),Block T6B,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6B座,濕地公園路",7292658.0,16242.0,449.0,6858592.0,16487.0,416.0,6030652.0,17084.0,353.0,7229740.0,15820.0,457.0,6876560.0,15992.0,430.0,8164080.0,16560.0,493.0,8383584.0,15878.0,528.0,9012794.0,16298.0,553.0,10296479.0,15437.0,667.0,9858744.000000002,15144.0,651.0,7152586.0,15617.0,458.0,7186028.0,16444.0,437.0,7066870.0,15845.0,446.0,6935040.0,16128.0,430.0,5762688.0,16512.0,349.0,,-0.0014435900108108468,-0.0014389917133924568
2022-4-15,7618137.133333334,16122.4,"WETLAND SEASONS BAY(Phase 3),Block T6B,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6B座,濕地公園路",7303883.0,16267.0,449.0,6868160.0,16510.0,416.0,6039124.0,17108.0,353.0,7240251.0,15843.0,457.0,6886020.0,16014.0,430.0,8176405.0,16585.0,493.0,8394672.0,15899.0,528.0,9026619.0,16323.0,553.0,10311820.0,15460.0,667.0,9873065.999999998,15166.0,651.0,7163120.0,15640.0,458.0,7196079.0,16467.0,437.0,7076682.0,15867.0,446.0,6945790.0,16153.0,430.0,5770366.0,16534.0,349.0,,0.021281954883119125,0.021288456259633826
2022-3-15,7459386.8,15786.333333333334,"WETLAND SEASONS BAY(Phase 3),Block T6B,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6B座,濕地公園路",7152121.0,15929.0,449.0,6724224.0,16164.0,416.0,5912750.0,16750.0,353.0,7089441.0,15513.0,457.0,6741970.0,15679.0,430.0,8006320.0,16240.0,493.0,8219376.0,15567.0,528.0,8839152.0,15984.0,553.0,10097046.0,15138.0,667.0,9668001.0,14851.0,651.0,7013812.0,15314.0,458.0,7045751.0,16123.0,437.0,6929056.0,15536.0,446.0,6802170.0,15819.0,430.0,5649612.0,16188.0,349.0,,-0.02430343403314761,-0.0242982875414105
2022-2-15,7645191.2,16179.466666666667,"WETLAND SEASONS BAY(Phase 3),Block T6B,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6B座,濕地公園路",7330823.0,16327.0,449.0,6891040.0,16565.0,416.0,6059598.0,17166.0,353.0,7266300.0,15900.0,457.0,6909240.0,16068.0,430.0,8205985.0,16645.0,493.0,8423712.0,15954.0,528.0,9059799.0,16383.0,553.0,10349172.0,15516.0,667.0,9908871.0,15221.0,651.0,7188768.0,15696.0,458.0,7220988.0,16524.0,437.0,7101212.0,15922.0,446.0,6972450.0,16215.0,430.0,5789910.0,16590.0,349.0,,-0.011763856704094855,-0.011759915302549051
2022-1-15,7736198.733333333,16372.0,"WETLAND SEASONS BAY(Phase 3),Block T6B,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6B座,濕地公園路",7418827.0,16523.0,449.0,6972576.0,16761.0,416.0,6131257.0,17369.0,353.0,7353130.0,16090.0,457.0,6990940.0,16258.0,430.0,8304092.0,16844.0,493.0,8522976.0,16142.0,528.0,9168740.0,16580.0,553.0,10472567.0,15701.0,667.0,10026702.0,15402.0,651.0,7274414.0,15883.0,458.0,7306640.0,16720.0,437.0,7185506.0,16111.0,446.0,7056300.0,16410.0,430.0,5858314.0,16786.0,349.0,,-0.007091931513212968,-0.0070835961379844825
2021-12-15,7791455.2,16488.8,"WETLAND SEASONS BAY(Phase 3),Block T6B,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6B座,濕地公園路",7472258.0,16642.0,449.0,7021664.0,16879.0,416.0,6174323.0,17491.0,353.0,7405685.0,16205.0,457.0,7040390.0,16373.0,430.0,8363744.999999999,16965.0,493.0,8583168.0,16256.0,528.0,9235100.0,16700.0,553.0,10547938.0,15814.0,667.0,10098963.0,15513.0,651.0,7326626.0,15997.0,458.0,7358206.0,16838.0,437.0,7236796.0,16226.0,446.0,7107470.0,16529.0,430.0,5899496.0,16904.0,349.0,,-0.008364791966935181,-0.008359494340802742
2021-11-15,7857178.866666666,16627.8,"WETLAND SEASONS BAY(Phase 3),Block T6B,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6B座,濕地公園路",7536016.0,16784.0,449.0,7080320.0,17020.0,416.0,6225861.0,17637.0,353.0,7468751.0,16343.0,457.0,7098870.0,16509.0,430.0,8434737.0,17109.0,493.0,8654976.0,16392.0,528.0,9313626.0,16842.0,553.0,10637316.0,15948.0,667.0,10184244.0,15644.0,651.0,7388456.0,16132.0,458.0,7419823.0,16979.0,437.0,7297452.0,16362.0,446.0,7168530.0,16671.0,430.0,5948705.0,17045.0,349.0,,-0.0002439296686195247,-0.00023649569497674605
2021-10-15,7859095.933333334,16631.733333333334,"WETLAND SEASONS BAY(Phase 3),Block T6B,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6B座,濕地公園路",7538261.0,16789.0,449.0,7081152.0,17022.0,416.0,6226920.0,17640.0,353.0,7470579.0,16347.0,457.0,7100160.0,16512.0,430.0,8437202.0,17114.0,493.0,8656560.0,16395.0,528.0,9316944.0,16848.0,553.0,10640651.0,15953.0,667.0,10186848.0,15648.0,651.0,7390288.0,16136.0,458.0,7421571.0,16983.0,437.0,7298790.0,16365.0,446.0,7171110.0,16677.0,430.0,5949403.0,17047.0,349.0,,-0.03520054660907801,-0.035196479191884844
2021-9-15,8145833.733333333,17238.466666666667,"WETLAND SEASONS BAY(Phase 3),Block T6B,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6B座,濕地公園路",7813947.0,17403.0,449.0,7339072.0,17642.0,416.0,6453546.0,18282.0,353.0,7743408.0,16944.0,457.0,7358590.0,17113.0,430.0,8745327.0,17739.0,493.0,8971248.0,16991.0,528.0,9657592.0,17464.0,553.0,11028845.0,16535.0,667.0,10559220.0,16220.0,651.0,7660050.0,16725.0,458.0,7691637.0,17601.0,437.0,7565052.0,16962.0,446.0,7433840.0,17288.0,430.0,6166132.0,17668.0,349.0,,0.023091458824731292,0.02309892814326253
