,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_A8,npsf_A8,nfa_A8,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_change,npsf_change
2019-12-15,5651555.181818182,13161.90909090909,11,62167107.0,144781.0,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",5915250.000000001,11950.0,495.0,5710298.0,13661.0,418.0,5454540.0,13468.0,405.0,5669892.0,13404.0,423.0,5525850.0,13002.0,425.0,5613220.0,13054.0,430.0,5927277.0,12171.0,487.0,5651152.0,13988.0,404.0,6179870.0,12742.0,485.0,4548354.0,14303.0,318.0,5971404.0,13038.0,458.0,-0.000341334115816716,-0.0003383276945384539
2019-11-15,5653484.909090909,13166.363636363636,11,62188334.0,144830.0,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",5916735.0,11953.0,495.0,5711970.0,13665.0,418.0,5457375.0,13475.0,405.0,5671584.0,13408.0,423.0,5527550.0,13006.0,425.0,5614080.0,13056.0,430.0,5930199.0,12177.0,487.0,5652768.0,13992.0,404.0,6182295.0,12747.0,485.0,4549626.0,14307.0,318.0,5974152.0,13044.0,458.0,0.020078668067990524,0.02008043443044394
2019-10-15,5542204.818181818,12907.181818181818,11,60964253.0,141979.0,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",5800410.0,11718.0,495.0,5599528.0,13396.0,418.0,5350860.0,13212.0,405.0,5559912.0,13144.0,423.0,5418750.0,12750.0,425.0,5502280.0,12796.0,430.0,5814293.0,11939.0,487.0,5541264.0,13716.0,404.0,6060560.0,12496.0,485.0,4459950.0,14025.0,318.0,5856446.0,12787.0,458.0,0.010734592135120291,0.010735311914914725
2019-9-15,5483343.363636363,12770.09090909091,11,60316777.0,140471.0,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",5738535.0,11593.0,495.0,5539754.0,13253.0,418.0,5294565.0,13073.0,405.0,5500691.999999999,13004.0,423.0,5360950.0,12614.0,425.0,5442940.0,12658.0,430.0,5753418.0,11814.0,487.0,5482684.0,13571.0,404.0,5996055.0,12363.0,485.0,4412568.0,13876.0,318.0,5794616.0,12652.0,458.0,-0.053999279608307305,-0.05399726579073194
2019-8-15,5796341.636363637,13499.0,11,63759758.0,148489.0,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",6065730.0,12254.0,495.0,5855762.0,14009.0,418.0,5597505.0,13821.0,405.0,5814135.0,13745.0,423.0,5666950.0,13334.0,425.0,5752540.0,13378.0,430.0,6083117.0,12491.0,487.0,5795380.0,14345.0,404.0,6338465.0,13069.0,485.0,4664424.0,14668.0,318.0,6125750.0,13375.0,458.0,0.04110521379664944,0.041107511954342035
2019-7-15,5567488.818181818,12966.0,11,61242377.0,142626.0,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",5826150.0,11770.0,495.0,5624608.0,13456.0,418.0,5377590.0,13278.0,405.0,5584446.0,13202.0,423.0,5442975.0,12807.0,425.0,5524210.0,12847.0,430.0,5843513.0,11999.0,487.0,5566312.0,13778.0,404.0,6088205.0,12553.0,485.0,4479984.0,14088.0,318.0,5884384.0,12848.0,458.0,-0.04418532876742998,-0.04418338147286871
2019-6-15,5824862.2727272725,13565.363636363636,11,64073485.0,149219.0,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",6095430.0,12314.0,495.0,5884186.0,14077.0,418.0,5627070.0,13894.0,405.0,5842476.0,13812.0,423.0,5694150.0,13398.0,425.0,5778340.0,13438.0,430.0,6114772.0,12556.0,487.0,5823660.0,14415.0,404.0,6369505.0,13133.0,485.0,4687002.0,14739.0,318.0,6156894.0,13443.0,458.0,0.0023949788672308348,0.0023981943007618245
2019-5-15,5810945.181818182,13532.90909090909,11,63920397.0,148862.0,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",6080580.0,12284.0,495.0,5869974.0,14043.0,418.0,5614110.0,13862.0,405.0,5828517.0,13779.0,423.0,5680550.0,13366.0,425.0,5763290.0,13403.0,430.0,6101136.0,12528.0,487.0,5809520.0,14380.0,404.0,6354470.0,13102.0,485.0,4675554.0,14703.0,318.0,6142696.0,13412.0,458.0,-0.00370074866467196,-0.003701100960412318
2019-4-15,5832529.909090909,13583.181818181818,11,64157829.0,149415.0,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",6102855.0,12329.0,495.0,5891710.0,14095.0,418.0,5635980.0,13916.0,405.0,5850090.0,13830.0,423.0,5701375.0,13415.0,425.0,5783500.0,13450.0,430.0,6124512.0,12576.0,487.0,5830932.0,14433.0,404.0,6378235.0,13151.0,485.0,4693044.0,14758.0,318.0,6165596.0,13462.0,458.0,0.060543038891211154,0.060545835255705116
2019-3-15,5499569.2727272725,12807.727272727272,11,60495262.0,140885.0,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",5754375.0,11625.0,495.0,5555220.0,13290.0,418.0,5315220.0,13124.0,405.0,5515920.0,13040.0,423.0,5375825.0,12649.0,425.0,5451969.999999999,12679.0,430.0,5775820.0,11860.0,487.0,5497632.0,13608.0,404.0,6013999.999999999,12400.0,485.0,4424970.0,13915.0,318.0,5814310.0,12695.0,458.0,0.03852679976369844,0.03853071694997712
2019-2-15,5295548.7272727275,12332.545454545454,11,58251036.0,135658.0,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",5541030.0,11194.0,495.0,5348728.0,12796.0,418.0,5118795.000000001,12639.0,405.0,5311188.0,12556.0,423.0,5176075.0,12179.0,425.0,5248580.0,12206.0,430.0,5562514.0,11422.0,487.0,5293612.0,13103.0,404.0,5790900.0,11940.0,485.0,4260564.0,13398.0,318.0,5599050.0,12225.0,458.0,0.009088809530590325,0.009089827129637795
