,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_A8,npsf_A8,nfa_A8,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_B8,npsf_B8,nfa_B8,lumpSum_change,npsf_change
2019-12-15,5750941.416666667,13369.916666666666,12,69011297.0,160439.0,5171,"WETLAND SEASONS PARK(Phase 2),Block 5,WETLAND PARK RD|WETLAND SEASONS PARK2期,5座,濕地公園路",5709270.0,12278.0,465.0,5664582.0,13266.0,427.0,5960955.0,13101.0,455.0,5492487.0,12803.0,429.0,5689320.0,13546.0,420.0,6098940.0,13116.0,465.0,7087684.0,13604.0,521.0,5500427.0,14513.0,379.0,4882332.0,13413.0,364.0,5716832.0,13112.0,436.0,5645232.0,14184.0,398.0,5563236.0,13503.0,412.0,-0.0003801844399331511,-0.00037383410488533997
2019-11-15,5753128.666666667,13374.916666666666,12,69037544.0,160499.0,5171,"WETLAND SEASONS PARK(Phase 2),Block 5,WETLAND PARK RD|WETLAND SEASONS PARK2期,5座,濕地公園路",5711595.0,12283.0,465.0,5666717.0,13271.0,427.0,5962775.0,13105.0,455.0,5495061.0,12809.0,429.0,5691000.0,13550.0,420.0,6101265.0,13121.0,465.0,7091852.0,13612.0,521.0,5501185.0,14515.0,379.0,4884152.0,13418.0,364.0,5719012.0,13117.0,436.0,5647222.0,14189.0,398.0,5565708.0,13509.0,412.0,0.020072547409905495,0.0200775390873269
2019-10-15,5639921.083333333,13111.666666666666,12,67679053.0,157340.0,5171,"WETLAND SEASONS PARK(Phase 2),Block 5,WETLAND PARK RD|WETLAND SEASONS PARK2期,5座,濕地公園路",5599065.0,12041.0,465.0,5554843.0,13009.0,427.0,5845385.0,12847.0,455.0,5387811.0,12559.0,429.0,5578860.0,13283.0,420.0,5980830.0,12862.0,465.0,6953787.0,13347.0,521.0,5391654.0,14226.0,379.0,4788420.0,13155.0,364.0,5606088.0,12858.0,436.0,5535782.0,13909.0,398.0,5456528.0,13244.0,412.0,0.010714545458075264,0.01072132895658151
2019-9-15,5580132.5,12972.583333333334,12,66961590.0,155671.0,5171,"WETLAND SEASONS PARK(Phase 2),Block 5,WETLAND PARK RD|WETLAND SEASONS PARK2期,5座,濕地公園路",5540010.0,11914.0,465.0,5495490.0,12870.0,427.0,5783050.0,12710.0,455.0,5331612.0,12428.0,429.0,5519220.0,13141.0,420.0,5917125.0,12725.0,465.0,6881889.0,13209.0,521.0,5333288.0,14072.0,379.0,4737824.0,13016.0,364.0,5546356.0,12721.0,436.0,5476878.0,13761.0,398.0,5398848.0,13104.0,412.0,-0.05402873604852654,-0.05402252052430401
2019-8-15,5898839.333333333,13713.416666666666,12,70786072.0,164561.0,5171,"WETLAND SEASONS PARK(Phase 2),Block 5,WETLAND PARK RD|WETLAND SEASONS PARK2期,5座,濕地公園路",5856675.0,12595.0,465.0,5809335.0,13605.0,427.0,6112925.0,13435.0,455.0,5636631.0,13139.0,429.0,5834220.0,13891.0,420.0,6254715.0,13451.0,465.0,7276807.0,13967.0,521.0,5636488.0,14872.0,379.0,5008640.0,13760.0,364.0,5862892.0,13447.0,436.0,5789308.0,14546.0,398.0,5707436.0,13853.0,412.0,0.04109014761386054,0.041097017049947615
2019-7-15,5666021.666666667,13172.083333333334,12,67992260.0,158065.0,5171,"WETLAND SEASONS PARK(Phase 2),Block 5,WETLAND PARK RD|WETLAND SEASONS PARK2期,5座,濕地公園路",5626035.0,12099.0,465.0,5579609.0,13067.0,427.0,5871320.0,12904.0,455.0,5414838.0,12622.0,429.0,5603640.0,13342.0,420.0,6007335.0,12919.0,465.0,6991299.0,13419.0,521.0,5412878.0,14282.0,379.0,4810988.0,13217.0,364.0,5631376.0,12916.0,436.0,5560458.0,13971.0,398.0,5482484.0,13307.0,412.0,-0.04422077195577456,-0.04421412892965759
2019-6-15,5928169.916666667,13781.416666666666,12,71138039.0,165377.0,5171,"WETLAND SEASONS PARK(Phase 2),Block 5,WETLAND PARK RD|WETLAND SEASONS PARK2期,5座,濕地公園路",5886435.0,12659.0,465.0,5837517.0,13671.0,427.0,6142500.0,13500.0,455.0,5666232.0,13208.0,429.0,5862780.0,13959.0,420.0,6284940.0,13516.0,465.0,7316924.0,14044.0,521.0,5661881.0,14939.0,379.0,5033756.0,13829.0,364.0,5891232.0,13512.0,436.0,5817566.0,14617.0,398.0,5736276.0,13923.0,412.0,0.0023882833952946214,0.002394200579457051
2019-5-15,5914045.5,13748.5,12,70968546.0,164982.0,5171,"WETLAND SEASONS PARK(Phase 2),Block 5,WETLAND PARK RD|WETLAND SEASONS PARK2期,5座,濕地公園路",5872485.0,12629.0,465.0,5823426.0,13638.0,427.0,6127485.0,13467.0,455.0,5653791.0,13179.0,429.0,5848500.0,13925.0,420.0,6269595.0,13483.0,465.0,7301294.0,14014.0,521.0,5647100.0,14900.0,379.0,5022108.0,13797.0,364.0,5876843.999999999,13479.0,436.0,5803238.0,14581.0,398.0,5722680.0,13890.0,412.0,-0.003732870561022672,-0.003725867909830316
2019-4-15,5936204.583333333,13799.916666666666,12,71234455.0,165599.0,5171,"WETLAND SEASONS PARK(Phase 2),Block 5,WETLAND PARK RD|WETLAND SEASONS PARK2期,5座,濕地公園路",5894805.0,12677.0,465.0,5844776.0,13688.0,427.0,6150235.0,13517.0,455.0,5675670.0,13230.0,429.0,5869920.0,13976.0,420.0,6292845.0,13533.0,465.0,7330470.0,14070.0,521.0,5666808.0,14952.0,379.0,5041036.0,13849.0,364.0,5898644.0,13529.0,436.0,5824730.0,14635.0,398.0,5744516.0,13943.0,412.0,0.060517774241186206,0.06052591131490637
2019-3-15,5597458.833333333,13012.333333333334,12,67169506.0,156148.0,5171,"WETLAND SEASONS PARK(Phase 2),Block 5,WETLAND PARK RD|WETLAND SEASONS PARK2期,5座,濕地公園路",5558610.000000001,11954.0,465.0,5510862.0,12906.0,427.0,5798975.0,12745.0,455.0,5352633.0,12477.0,429.0,5534760.0,13178.0,420.0,5933400.0,12760.0,465.0,6914191.0,13271.0,521.0,5342005.0,14095.0,379.0,4753476.0,13059.0,364.0,5561615.999999999,12756.0,436.0,5492002.0,13799.0,398.0,5416976.0,13148.0,412.0,0.038472367928595874,0.038480467139303975
2019-2-15,5390089.333333333,12530.166666666666,12,64681072.0,150362.0,5171,"WETLAND SEASONS PARK(Phase 2),Block 5,WETLAND PARK RD|WETLAND SEASONS PARK2期,5座,濕地公園路",5353080.0,11512.0,465.0,5306329.0,12427.0,427.0,5583760.000000001,12272.0,455.0,5154864.0,12016.0,429.0,5329380.0,12689.0,420.0,5713455.0,12287.0,465.0,6659943.0,12783.0,521.0,5142651.0,13569.0,379.0,4577664.0,12576.0,364.0,5355388.0,12283.0,436.0,5288226.000000001,13287.0,398.0,5216332.0,12661.0,412.0,0.0090744051801539,0.00907998845707314
