,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_A8,npsf_A8,nfa_A8,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_B8,npsf_B8,nfa_B8,lumpSum_change,npsf_change
2019-12-15,5788050.25,13432.25,12,69456603.0,161187.0,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",6013380.0,12932.0,465.0,5727351.0,13413.0,427.0,6037395.0,13269.0,455.0,5603169.0,13061.0,429.0,5561430.0,13055.0,426.0,5974254.0,13926.0,429.0,6605238.0,12678.0,521.0,5535295.0,14605.0,379.0,4813172.000000001,13223.0,364.0,5794440.0,13290.0,436.0,5574415.0,14479.0,385.0,6217064.0,13256.0,469.0,-0.0003334639612807555,-0.0003349024131579226
2019-11-15,5789981.0,13436.75,12,69479772.0,161241.0,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",6014310.0,12934.0,465.0,5729059.0,13417.0,427.0,6039670.0,13274.0,455.0,5605314.0,13066.0,429.0,5562282.0,13057.0,426.0,5976399.0,13931.0,429.0,6608364.0,12684.0,521.0,5537190.0,14610.0,379.0,4815720.0,13230.0,364.0,5796184.0,13294.0,436.0,5576340.0,14484.0,385.0,6218940.0,13260.0,469.0,0.02012036931297545,0.020118814887922998
2019-10-15,5675782.166666667,13171.75,12,68109386.0,158061.0,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",5894805.000000001,12677.0,465.0,5616331.0,13153.0,427.0,5921370.000000001,13014.0,455.0,5495061.0,12809.0,429.0,5451522.0,12797.0,426.0,5858424.0,13656.0,429.0,6478114.0,12434.0,521.0,5428038.0,14322.0,379.0,4721444.0,12971.0,364.0,5681516.0,13031.0,436.0,5466230.0,14198.0,385.0,6096531.0,12999.0,469.0,0.010751534153165876,0.010749456452231687
2019-9-15,5615407.916666667,13031.666666666666,12,67384895.0,156380.0,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",5831100.0,12540.0,465.0,5556551.0,13013.0,427.0,5858580.0,12876.0,455.0,5437146.0,12674.0,429.0,5392734.0,12659.0,426.0,5796219.0,13511.0,429.0,6409863.0,12303.0,521.0,5370051.0,14169.0,379.0,4672304.0,12836.0,364.0,5620912.0,12892.0,436.0,5408095.0,14047.0,385.0,6031340.0,12860.0,469.0,-0.05396113834491778,-0.05396249243799156
2019-8-15,5935705.333333333,13775.0,12,71228464.0,165300.0,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",6162645.0,13253.0,465.0,5873385.0,13755.0,427.0,6193460.0,13612.0,455.0,5747742.0,13398.0,429.0,5699028.0,13378.0,426.0,6126549.0,14281.0,429.0,6776126.0,13006.0,521.0,5676662.0,14978.0,379.0,4939480.0,13570.0,364.0,5940936.0,13626.0,436.0,5716865.0,14849.0,385.0,6375586.0,13594.0,469.0,0.04113032913129833,0.041128676702147704
2019-7-15,5701212.583333333,13230.833333333334,12,68414551.0,158770.0,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",5918055.0,12727.0,465.0,5641524.0,13212.0,427.0,5949125.0,13075.0,455.0,5521230.0,12870.0,429.0,5472822.0,12847.0,426.0,5884593.0,13717.0,429.0,6509374.0,12494.0,521.0,5452294.0,14386.0,379.0,4745468.0,13037.0,364.0,5705932.0,13087.0,436.0,5490870.0,14262.0,385.0,6123264.0,13056.0,469.0,-0.04417535724416244,-0.04417607821417391
2019-6-15,5964705.583333333,13842.333333333334,12,71576467.0,166108.0,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",6190545.0,13313.0,465.0,5901994.0,13822.0,427.0,6224855.0,13681.0,455.0,5776914.0,13466.0,429.0,5725014.0,13439.0,426.0,6156579.0,14351.0,429.0,6810512.0,13072.0,521.0,5704329.0,15051.0,379.0,4965324.0,13641.0,364.0,5969276.0,13691.0,436.0,5744585.0,14921.0,385.0,6406540.0,13660.0,469.0,0.002445805592214967,0.00244413197105664
2019-5-15,5950152.666666667,13808.583333333334,12,71401832.0,165703.0,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",6174270.0,13278.0,465.0,5887476.0,13788.0,427.0,6210295.0,13649.0,455.0,5763186.0,13434.0,429.0,5709678.0,13403.0,426.0,6141564.0,14316.0,429.0,6794882.0,13042.0,521.0,5690306.0,15014.0,379.0,4954404.0,13611.0,364.0,5954452.0,13657.0,436.0,5730725.0,14885.0,385.0,6390594.0,13626.0,469.0,-0.0036598513911676456,-0.0036617922940016534
2019-4-15,5972009.333333333,13859.333333333334,12,71664112.0,166312.0,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",6195660.0,13324.0,465.0,5909253.0,13839.0,427.0,6233500.0,13700.0,455.0,5785065.0,13485.0,429.0,5729700.0,13450.0,426.0,6164301.0,14369.0,429.0,6820411.0,13091.0,521.0,5711151.0,15069.0,379.0,4973695.999999999,13664.0,364.0,5975816.0,13706.0,436.0,5751515.0,14939.0,385.0,6414044.0,13676.0,469.0,0.0605645428449928,0.060561808500462444
2019-3-15,5630972.083333333,13067.916666666666,12,67571665.0,156815.0,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",5840865.0,12561.0,465.0,5571923.0,13049.0,427.0,5878145.0,12919.0,455.0,5455164.0,12716.0,429.0,5401680.0,12680.0,426.0,5812092.0,13548.0,429.0,6431224.0,12344.0,521.0,5385211.0,14209.0,379.0,4690504.0,12886.0,364.0,5633992.0,12922.0,436.0,5423110.0,14086.0,385.0,6047755.0,12895.0,469.0,0.03855177653990394,0.038551200709961986
2019-2-15,5421946.416666667,12582.833333333334,12,65063357.0,150994.0,5185,"WETLAND SEASONS PARK(Block 6),WETLAND PARK RD|WETLAND SEASONS PARK6座,濕地公園路",5623245.0,12093.0,465.0,5364828.0,12564.0,427.0,5660655.0,12441.0,455.0,5253104.999999999,12245.0,429.0,5200182.0,12207.0,426.0,5596305.0,13045.0,429.0,6193127.0,11887.0,521.0,5185099.0,13681.0,379.0,4517240.0,12410.0,364.0,5424712.0,12442.0,436.0,5221755.0,13563.0,385.0,5823104.0,12416.0,469.0,0.00912538221404846,0.00912256313949844
