,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,nfa_avg,lumpSum_change,npsf_change
2020-12-15,6393117.142857143,13601.285714285714,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6358784.0,15104.0,421.0,6376292.0,14426.0,442.0,6377717.999999999,14561.0,438.0,5891755.0,14197.0,415.0,6225002.0,12182.0,511.0,6956685.0,12015.0,579.0,6565584.0,12724.0,516.0,,-0.005106961769360541,-0.005089031934459198
2020-11-15,6425934.142857143,13670.857142857143,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6390359.0,15179.0,421.0,6408116.0,14498.0,442.0,6409692.0,14634.0,438.0,5920805.0,14267.0,415.0,6258217.0,12247.0,511.0,6993162.0,12078.0,579.0,6601188.0,12793.0,516.0,,-0.021901417733438344,-0.021883336570009293
2020-10-15,6569822.571428572,13976.714285714286,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6532236.0,15516.0,421.0,6550440.0,14820.0,442.0,6552480.0,14960.0,438.0,6052360.0,14584.0,415.0,6399764.0,12524.0,511.0,7150650.0,12350.0,579.0,6750828.0,13083.0,516.0,,0.015423953488926667,0.015686315221227876
2020-9-15,6470029.142857143,13760.857142857143,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6352048.0,15088.0,421.0,6463366.0,14623.0,442.0,6465318.0,14761.0,438.0,5971435.0,14389.0,415.0,6316982.000000001,12362.0,511.0,7057431.0,12189.0,579.0,6663624.0,12914.0,516.0,,0.019823395035110547,0.019840765679922212
2020-8-15,6344264.285714285,13493.142857142857,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6227432.0,14792.0,421.0,6336954.0,14337.0,442.0,6338736.0,14472.0,438.0,5854405.0,14107.0,415.0,6195364.0,12124.0,511.0,6920787.0,11953.0,579.0,6536172.0,12667.0,516.0,,-0.04981483950321397,-0.04979779078891766
2020-7-15,6676871.571428572,14200.285714285714,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6552444.0,15564.0,421.0,6668454.0,15087.0,442.0,6670302.0,15229.0,438.0,6160260.0,14844.0,415.0,6521382.0,12762.0,511.0,7284399.0,12581.0,579.0,6880860.0,13335.0,516.0,,0.020316608331540253,0.02033442481600467
2020-6-15,6543921.285714285,13917.285714285714,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6420671.0,15251.0,421.0,6534970.0,14785.0,442.0,6536712.0,14924.0,438.0,6036590.0,14546.0,415.0,6392610.0,12510.0,511.0,7140228.0,12332.0,579.0,6745668.0,13073.0,516.0,,0.010526807850631092,0.010517908450631275
2020-5-15,6475752.285714285,13772.42857142857,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6355416.0,15096.0,421.0,6466460.0,14630.0,442.0,6468384.0,14768.0,438.0,5974340.0,14396.0,415.0,6325669.0,12379.0,511.0,7065537.0,12203.0,579.0,6674460.0,12935.0,516.0,,0.007004695106847869,0.006987820927949029
2020-4-15,6430707.142857143,13676.857142857143,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6312474.0,14994.0,421.0,6422260.0,14530.0,442.0,6424146.0,14667.0,438.0,5933670.0,14298.0,415.0,6280701.0,12291.0,511.0,7015743.0,12117.0,579.0,6625956.0,12841.0,516.0,,0.018183835778153412,0.01816441561203863
2020-3-15,6315860.571428572,13432.857142857143,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6200909.0,14729.0,421.0,6308666.0,14273.0,442.0,6310266.0,14407.0,438.0,5828675.0,14045.0,415.0,6167259.0,12069.0,511.0,6889521.0,11899.0,579.0,6505728.000000001,12608.0,516.0,,0.005350427912120148,0.005335129529246974
2020-2-15,6282247.857142857,13361.57142857143,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6168913.0,14653.0,421.0,6275516.0,14198.0,442.0,6277416.0,14332.0,438.0,5798795.0,13973.0,415.0,6133022.0,12002.0,511.0,6852465.0,11835.0,579.0,6469608.0,12538.0,516.0,,-0.023410789461522752,-0.023429913860610774
