,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_change,npsf_change
2019-12-15,6601078.125,13304.125,8,52808625.0,106433.0,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",6515005.0,13433.0,485.0,6181648.0,15004.0,412.0,7711488.0,13388.0,576.0,6260140.0,13609.0,460.0,8603904.0,13056.0,659.0,5840876.000000001,12118.0,482.0,5573448.0,13176.0,423.0,6122116.0,12649.0,484.0,-0.0002827904660652747,-0.00027239766301589974
2019-11-15,6602945.375,13307.75,8,52823563.0,106462.0,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",6515974.999999999,13435.0,485.0,6182060.0,15005.0,412.0,7714368.0,13393.0,576.0,6261060.000000001,13611.0,460.0,8607199.0,13061.0,659.0,5843285.999999999,12123.0,482.0,5575563.0,13181.0,423.0,6124052.0,12653.0,484.0,0.020159321451705736,0.020171143286985993
2019-10-15,6472464.875,13044.625,8,51779719.0,104357.0,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",6386480.0,13168.0,485.0,6058872.0,14706.0,412.0,7562304.0,13129.0,576.0,6135940.0,13339.0,460.0,8438495.0,12805.0,659.0,5728570.0,11885.0,482.0,5466006.0,12922.0,423.0,6003052.0,12403.0,484.0,0.010790865961610496,0.010799868270665147
2019-9-15,6403367.0,12905.25,8,51226936.0,103242.0,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",6317610.0,13026.0,485.0,5992952.0,14546.0,412.0,7481664.0,12989.0,576.0,6069699.999999999,13195.0,460.0,8349530.0,12670.0,659.0,5667838.0,11759.0,482.0,5408478.0,12786.0,423.0,5939164.0,12271.0,484.0,-0.053946939334371,-0.053936661535078034
2019-8-15,6768507.25,13641.0,8,54148058.0,109128.0,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",6676995.0,13767.0,485.0,6333264.0,15372.0,412.0,7909056.0,13731.0,576.0,6414700.0,13945.0,460.0,8826646.0,13394.0,659.0,5991742.0,12431.0,482.0,5717691.0,13517.0,423.0,6277964.0,12971.0,484.0,0.04117848017831771,0.04118842487906793
2019-7-15,6500813.625,13101.375,8,52006509.0,104811.0,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",6412185.0,13221.0,485.0,6081532.0,14761.0,412.0,7596288.0,13188.0,576.0,6159860.0,13391.0,460.0,8478694.0,12866.0,659.0,5755562.0,11941.0,482.0,5492232.0,12984.0,423.0,6030156.0,12459.0,484.0,-0.04412587962955983,-0.04411389172625124
2019-6-15,6800909.75,13706.0,8,54407278.0,109648.0,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",6707065.0,13829.0,485.0,6360868.0,15439.0,412.0,7947648.0,13798.0,576.0,6443220.0,14007.0,460.0,8871458.0,13462.0,659.0,6022108.0,12494.0,482.0,5746455.0,13585.0,423.0,6308456.0,13034.0,484.0,0.002468728080839533,0.0024776689797672002
2019-5-15,6784161.5,13672.125,8,54273292.0,109377.0,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",6689605.000000001,13793.0,485.0,6343976.0,15398.0,412.0,7928640.0,13765.0,576.0,6426200.0,13970.0,460.0,8850370.0,13430.0,659.0,6008130.0,12465.0,482.0,5732919.0,13553.0,423.0,6293452.0,13003.0,484.0,-0.00362857673257877,-0.00361652121631717
2019-4-15,6808868.0,13721.75,8,54470944.0,109774.0,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",6713370.0,13842.0,485.0,6365400.0,15450.0,412.0,7958016.0,13816.0,576.0,6448280.0,14018.0,460.0,8883979.0,13481.0,659.0,6030784.0,12512.0,482.0,5754915.0,13605.0,423.0,6316200.0,13050.0,484.0,0.060618051363555026,0.06062860510729573
2019-3-15,6419717.25,12937.375,8,51357738.0,103499.0,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",6328765.0,13049.0,485.0,6000368.0,14564.0,412.0,7503552.0,13027.0,576.0,6078440.000000001,13214.0,460.0,8377208.0,12712.0,659.0,5687118.0,11799.0,482.0,5426667.0,12829.0,423.0,5955620.0,12305.0,484.0,0.038569994379220374,0.038583498906215485
2019-2-15,6181304.375,12456.75,8,49450435.0,99654.0,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",6093055.0,12563.0,485.0,5776240.0,14020.0,412.0,7225344.0,12544.0,576.0,5851660.0,12721.0,460.0,8067478.0,12242.0,659.0,5476484.0,11362.0,482.0,5225742.0,12354.0,423.0,5734432.0,11848.0,484.0,0.00917815478509798,0.009185089167265792
