,A,B,C,D,E,E1,F,G,H,I,J,K,L,M,N,O
4.0,10541,10725,9859,10485,10485,,9609,10725,10651,10999,11472,11250,10639,12196,11122,11042
10.0,11007,11212,10177,10832,10832,,9860,11212,11121,11404,13025,12597,10912,12612,11506,12211
16.0,11384,11584,10479,11177,11177,,10626,11597,11218,11772,13376,12997,12136,13020,11481,11944
