,A,B,C,D,E,F,F1,G,H,I,J,K,L
6.0,575,495,502,502,495,398,,590,700,605,595,505,515
12.0,575,495,502,502,495,398,,590,700,605,595,505,515
18.0,575,495,502,502,405,398,,590,700,605,595,505,515
