,B1,B10,B12,B14,B15,B2,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,C7,C8,C9,F.P.,whole floor
2.0,351,351,369,187,196,337,351,175,187,185,187,351,460,379,368,368,380,380,368,368,380,321,380
4.0,351,351,369,187,196,337,351,175,187,185,187,351,460,379,368,368,380,380,368,368,380,321,380
7.0,351,351,369,187,196,337,351,175,187,185,187,351,460,379,368,368,380,380,368,368,380,321,412
