,31,A,B,C,D,E,F,G,H,I,J,whole floor
2.0,463,569,421,421,569,446,385,572,507,575,569,341
4.0,463,569,421,421,569,446,385,572,507,575,503,448
7.0,463,569,443,421,569,446,385,590,481,481,503,365
