,1,10,11,11A,12,13,14,2,3,4,5,6,7,8,9,9 & 10
4.0,11027,12275,11225,13808,11280,12039,11142,12148,12101,11370,11354,11161,11983,11200,12130,11363
8.0,12065,13277,12590,14123,11929,12296,11408,12410,12706,12027,11966,11391,12244,11489,12376,11634
13.0,15109,13695,11861,14484,11953,11650,11663,12702,12570,12942,11877,12449,12119,11649,12249,11933
