,A,B,C,D,E,F,G,H,J,K,L,M,N,P,Q,R
9.0,23553,23446,23698,23686,24002,22031,24381,24139,25185,24156,24011,24232,24128,23238,22741,22658
20.0,26135,25423,25544,26011,26081,24020,24900,25198,25983,24992,24874,24987,25752,25601,26372,25678
30.0,27067,26455,26952,27228,27551,24667,26562,25927,26697,26314,25611,27184,27192,27059,29097,27305
