,A,B,C,D,E,F,whole floor
2.0,9918484,10206378,9199533,9199533,,7761350,9218440
4.0,10342712,10555818,9300711,9300711,9251188,8893125,9278112
6.0,10451132,9177630,9399845,9399845,9349740,8986625,9700749
