,1,10,11,12,12A,14,15,16,17,18,19,2,20,21,22,23,24,3,4,5,6,7,8,9
4.0,355,365,365,365,365,365,420,320,330,379,365,365,365,365,358,475,345,365,365,365,365,365,365,365
10.0,355,365,365,365,365,365,420,365,330,379,365,365,365,365,358,475,345,365,365,365,365,365,365,365
15.0,355,365,365,365,365,365,420,320,330,379,365,365,365,365,358,475,345,365,365,365,365,365,365,365
