,1,10,11,12,12A,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,3,4,5,6,7,8,9,G2,G4
4.0,11590,9732,10549,10942,11361,11320,11021,11204,11650,12226,11370,10789,11370,11075,10794,11537,11333,11075,11061,10627,10955,10842,10977,10187,10793,10903,10571,10873,10840,10840
10.0,12181,10049,10876,11274,11562,11536,11517,11227,11842,12621,11572,11303,11572,11238,11302,11960,11532,11238,11329,10878,11293,11200,11310,10554,10912,11239,10840,11201,11167,11167
15.0,11582,10306,11149,11557,11864,11839,11684,11509,12150,12939,11874,11570,11874,11531,11354,12232,11833,11531,11615,11169,11580,11491,11594,10847,11186,11524,11144,11483,11447,11447
