,A,B,C,D,E,F,F1,G,H,I,J,K,L
6.0,12458,13153,12590,12590,12134,13589,,12431,12235,12404,11516,12584,11286
12.0,12872,13516,13008,13008,12535,14021,,12845,12641,12817,12181,13003,11729
18.0,13275,13886,13414,13414,13123,14453,,13247,13036,13218,12618,13408,12182
