,A,B,C,C & D,D,E,E & F,EF,F
8.0,6555184,11672976,8557043,18517004,8376357,11038020,20769336,20769336,8007545
16.0,6869088,12398078,8946795,19276642,8728742,11635554,21606942,21606942,8389745
25.0,7231200,13138272,9540883,23765412,9354994,12277286,26706666,26706666,8844290
