,A,B,C,D,E,F,G,H,J,K,L,M,N,P,Q,R
9.0,5511402,6799340,6943514,6868940,7200600,9935981,7338681,7000310,5490330,7077708,7131267,5185648,5211648,8923392,6799559,5392604
20.0,6115590,7372670,7484392,7543190,7824300,10833020,7494900,7307420,5664294,7322656,7387578,5347218,5562432,9830784,7885228,6111364
30.0,6333678,7671950,7896936,7896120,8265300,11124817,7995162,7518830,5819946,7710002,7606467,5817376,5873472,10390656,8700003,6498590
