,31,A,B,C,D,E,F,G,H,I,J,whole floor
2.0,16587,15826,16437,14918,15501,14964,16256,15404,14854,15470,15389,18624
4.0,17245,15993,16616,15512,15658,16620,16521,15560,14936,15530,16850,14548
7.0,17390,15892,16938,15259,15890,16924,16791,15749,15315,16801,15888,19149
