,A,B,C,D,E,F,G,H,J,K,M,N,O,P,Q,R
3.0,5453000,4705800,4628520,4850355,4804470,4444635,4823445,4884165,4848630,4884165,4734780,4891410,4895205,6049053,4888305,5338610
6.0,5485390,4794465,4825515,4934880,4927635,4969380,4908660,4969380,4932465,4969380,4964895,5080125,5223100,6153144,5073915,5566980
9.0,5639550,4834140,4905210,4970070,4878645,4904520,4944540,4904520,4968000,4904520,4936950,5164305,5259580,6464004,5413860,5662510
