,1,10,11,12,12A,14,15,16,17,18,19,2,20,21,22,23,24,3,4,5,6,7,8,9
4.0,3852460,3921195,4231445,3926670,3814980,3877030,4458300,3584320,3688740,4028770,4071210,3926670,4154065,3926670,3896114,5039750,3773955,3999670,3874475,3851480,3926670,3892725,3914260,3775560
10.0,3923105,4223780,4301525,3999305,4011350,4077780,4542300,4151510,3881130,4103812,4119390,3999305,4376715,3999305,4159960,5384600,3844680,4253345,4075955,4063545,3999305,4217575,4120485,3996385
15.0,4044515,4358100,4430735,4123405,4160270,4166110,4683000,3939200,4083750,4231156,4154430,4123405,4528920,4123405,4284902,5550375,3964050,4380365,4163190,4107345,4123405,4351895,4207720,4213925
