,1,10,11,12,12A,14,15,16,17,18,19,2,20,21,22,23,3,4,5,6,7,8,9
4.0,10659,10328,10712,11047,11360,11131,11695,11724,11759,11684,11464,10264,11070,11697,10968,11679,10695,10725,10688,10481,10531,11001,10988
10.0,10984,10665,10747,11487,11330,11566,11619,12132,12170,11609,11921,10863,11708,11947,11393,11975,10872,10811,10806,10499,10831,11525,11414
15.0,11391,10995,11024,11821,12069,11821,12577,12941,12513,12439,12308,10986,12405,12928,11633,12615,11054,11094,10998,10772,11026,11845,11656
