,B1,B10,B12,B14,B15,B2,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,C7,C8,C9,F.P.,whole floor
2.0,18091,18122,17861,18669,17117,18333,17664,17537,17418,17338,17207,18575,17462,18243,17983,17716,18729,17444,17700,17405,17413,18575,17421
4.0,17930,17916,17655,18891,17295,18125,17840,17720,17569,17519,17400,19085,17553,18439,18160,17864,18974,17633,17614,17592,17599,18364,17607
7.0,18088,18039,17773,19332,17563,18246,18004,17994,17841,17790,17670,18843,17832,18614,17001,17931,18917,17907,17770,17733,17775,18516,17670
