,1,10,11,12,13,14,15,16,2,3,4,5,6,7,8,9,whole floor
6.0,10263622,8033826,7933198,9936450,10203288,7991932,7988322,8447862,8085999,7729992,8251470,8527020,8007756,8317478,10164102,8496459,8085999
14.0,10895574,8527260,8453871,10570890,10759978,8337238,8375106,8806578,8403097,8322492,8896257,9061587,8510196,8344648,10825288,9015495,8403097
23.0,11212172,8796018,8703909,10860120,11202842,8727498,8750988,9193350,8821264,8662824,9158781,9354672,8459004,8996728,11130690,9352668,8746540
