,A,AH,B,C,D,E,F,G,H
7.0,19127,25032,19505,18468,19145,18515,18813,19263,19134
16.0,20077,26275,19989,19805,20097,19938,19691,20220,20086
24.0,20121,27336,20855,20606,20325,19949,20511,21378,20310
