,D1,D10,D11,D13,D14,D2,D3,D4,D5,D6,D7,D8,D9,whole floor
2.0,17687,17604,18128,17654,17921,17701,16538,18211,19177,18081,18401,17178,18644,18309
4.0,17709,17784,18149,17676,17894,17807,16197,18049,19417,18076,18521,17219,17686,18732
7.0,17889,18459,18663,17954,18165,18047,16493,18326,19630,18352,18807,17502,18251,19017
