,1,10,11,12,12A,14,15,16,17,18,19,2,20,21,22,23,3,4,5,6,7,8,9
4.0,4061079,3965952,4499040,3811215,3771520,3829064,3754095,3892368,3786398,3762248,3599696,4105600,3985200,3824919,3948480,3760638,4652325,4504500,4692032,4988956,5297093,3861351,3933704
10.0,4184904,4095360,4513740,3963015,3761560,3978704,3729699,4027824,3918740,3738098,3743194,4345200,4214880,3906669,4101480,3855950,4729320,4540620,5165268,4997524,5447993,4045275,4086212
15.0,4339971,4222080,4630080,4078245,4006908,4066424,4037217,3882300,4029186,4005358,3864712,4394400,4465800,4227456,4187880,4062030,4808490,4659480,5257044,5127472,5546078,4157595,4172848
