,C5,C8,C9,D1,D10,D11,D4,D5,D7,D9,E5,E6
2.0,6904600,6745808,6904600,7610889,7004010,7317033,7489020,7452480,7403835,7427280,8390440,9518895
4.0,6977560,6816832,6977560,7691112,7077720,7394301,7651560,7531020,7481814,7546140,8194450,9611406
7.0,7083960,6920608,7083960,7683390,7185360,7508148,7684740,7646940,7596906,7621740,8265192,9760181
