,A,B,C,D,E,F,G,H,J,K,M,N,O,P,Q,R
3.0,13300,13640,13416,14059,13926,12883,13981,14157,14054,14157,13724,14178,14189,12843,14169,13021
6.0,13379,13897,13987,14304,14283,14404,14228,14404,14297,14404,14391,14725,13745,13064,14707,13578
9.0,13755,14012,14218,14406,14141,14216,14332,14216,14400,14216,14310,14969,13841,13724,14247,13811
