,A4,A5,A6,A7,A8,A9,B3,B6,B7,C1,C7,C8
2.0,17774,17727,18340,19655,18979,19127,17977,17379,17420,19028,18587,18587
4.0,17941,17896,18527,19916,19173,19323,18170,17568,17608,19222,18744,18744
7.0,18192,17683,18364,20189,19471,19584,18459,17850,17891,19486,18995,18995
