,A,B,C,D,E,F,G,H
7.0,19480,20086,18333,18781,18502,17904,18930,18686
16.0,19898,20985,18297,18387,18311,17460,19785,18651
24.0,20888,21793,20012,19106,19051,18344,20100,19375
