,A,B,C,C & D,D,E,E & F,EF,F
8.0,17813,17016,18091,19574,17709,19230,20184,20184,17599
16.0,18666,18073,18915,20377,18454,20271,20998,20998,18439
25.0,19650,19152,20171,25122,19778,21389,25954,25954,19438
