,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,3,4,5,6,7,8,9,A19,A20
4.0,5169425,3349605,,3688670,3791565,4385980,3911820,4144485,3806725,3436740,3796143,5447095,3580500,4330360,3733330,4335835,3807680,4343865,4350460,4343865,3886025,4343865,3541980,4355180,3904053,3628800
10.0,5338525,3448785,4432925,3801520,3897840,4526950,3959670,4088595,3852875,3567890,3837345,5563001,3690600,4469425,3762780,4474170,3858240,4483295,4488840,4483295,3897075,4483295,3628620,4489865,3914844,3736200
15.0,5368890,3539130,4259025,3893020,3913626,4518810,4057350,4111020,3951675,3662440,3922692,5701309,3783600,4477820,3921810,4466505,3958400,4478185,4476260,4478185,4052100,4478185,3716685,4512495,4070496,3849000
