,1,10,11,11B,12,13,14,15,16,17,18,19,20,21,22,23,3,4,5,6,7,8,9
5.0,10154,11980,12106,11930,11839,11684,11009,10712,11129,12261,11408,10885,11269,12266,13832,11615,11253,12256,11295,12327,11346,11566,11838
12.0,10455,10824,11208,12274,12637,12105,11291,11573,12942,13526,12488,11291,11907,13069,11882,11500,11224,11335,11142,12516,12126,11524,11475
19.0,11163,11803,12328,12936,12982,12048,15057,12877,14250,14023,12724,12401,12643,13677,12016,11967,11760,12289,12128,12958,12260,12339,12501
