,A,B,C,D,E,F,F1,G,H,I,J,K,L
6.0,7163350,6510735,6320180,6320180,6006330,5408422,,7334290,8564500,7504420,6852020,6354920,5812290
12.0,7401400,6690420,6530016,6530016,6204825,5580358,,7578550,8848700,7754285,7247695,6566515,6040435
18.0,7633125,6873570,6733828,6733828,5314815,5752294,,7815730,9125200,7996890,7507710,6771040,6273730
