,A,B,C,D,E,F,G,H
6.0,21305726,19440861,15948881,16730665,16531676,15061332,19440861,22118451
14.0,22112846,20458798,16904368,17592645,17423917,16496740,20458798,23195732
23.0,23284291,21601297,17967859,18721472,18403273,17820660,21601297,24469188
