,A,AH,B,C,D,E,F,G,H
7.0,13790567,36096144,11488445,10877652,13669530,13219710,13771116,14100516,13795614
16.0,14475517,37888550,11773521,11665145,14349258,14235732,14413812,14801040,14482006
24.0,14507241,39418512,12283595,12136934,14512050,14243586,15014052,15648696,14643510
