,A,B,C,D,E,F,G,I,J,K,L,M,N,O,P,Q,R,REAR
3.0,390,485,360,360,360,360,360,360,360,360,360,360,360,360,360,360,390,390
6.0,390,485,360,360,360,360,360,360,360,360,360,360,360,360,360,360,390,390
9.0,390,485,360,360,360,360,360,360,360,360,360,360,360,360,360,360,390,390
